Text;Size
ja;477
hän;226
oli;172
don;130
että;119
niin;107
hänen;99
joka;99
quijote;93
kuin;90
mutta;90
on;89
ei;84
sancho;76
kun;69
sen;67
se;56
olisi;55
ritari;49
ole;46
tämä;44
sillä;44
sitä;44
jos;43
vain;42
vastasi;39
mitä;38
ollut;37
jotka;36
sanoi;35
jonka;35
tämän;32
nyt;31
hänelle;31
kaikki;31
ettei;30
ritarin;30
ovat;30
hänet;29
he;28
tai;28
herra;27
yhtä;27
vielä;27
eikä;26
mikä;26
en;26
sitte;26
siitä;25
jo;24
eivät;24
olen;24
ne;23
mitään;23
quijoten;22
viimein;22
häntä;21
isäntä;20
enää;19
minun;19
vaan;19
heidän;18
vastaan;18
siihen;18
vaikka;18
olivat;18
koska;17
näin;17
tästä;17
heti;17
vuoksi;17
tätä;16
minä;16
nämä;16
de;16
hyvin;16
kyllä;16
mukaan;16
jota;16
minulle;15
selkään;15
kuten;15
jollei;15
minua;15
tässä;15
vallan;15
tuo;14
kanssa;14
aina;14
koko;14
heille;14
vähän;14
hyvä;14
itse;14
ilman;13
niitä;13
antaa;13
muuta;13
majatalon;13
kelpo;13
olette;12
johon;12
itselleen;12
olevan;12
lausui;12
tuskin;12
tällä;12
heitä;12
nuo;12
aivan;12
edes;12
minut;12
te;12
joita;12
toinen;12
saanut;12
ennen;12
teidän;12
isäntänsä;12
miten;12
missä;12
voinut;12
kautta;12
huudahti;11
isännän;11
voi;11
ritariksi;11
jonkun;11
sai;11
koskaan;11
mies;10
rosinanten;10
huusi;10
siinä;10
aikaa;10
tehdä;10
lainkaan;10
muuten;10
nähdessään;10
sanoen;10
no;10
meidän;10
juuri;10
päätti;10
virkkoi;10
luku;10
teille;9
minulla;9
meitä;9
ratsasti;9
kerran;9
kaksi;9
kolme;9
la;9
teitä;9
maahan;9
kirkkoherra;9
enkä;9
meni;9
olet;9
päähän;9
nimi;9
aasin;9
alkoi;9
silloin;9
itseään;9
siis;9
meille;8
minkä;8
tuota;8
näki;8
vaeltava;8
itsensä;8
parturi;8
mikään;8
paikalla;8
tähän;8
päivän;8
täten;8
hänellä;8
kohtaan;8
aika;8
sanchon;8
sijaan;8
kuitenkin;8
nousi;8
muuan;8
yhä;8
pyydän;8
jotta;8
kysyi;8
pystyyn;8
teidät;8
olla;8
pyysi;8
niinkuin;8
tuli;8
pian;8
sinulle;8
nimittäin;7
pahoin;7
vaeltavan;7
ensin;7
josta;7
rupesi;7
sekä;7
häneltä;7
kunnes;7
niistä;7
tulee;7
äänellä;7
ulos;7
kuitenkaan;7
jolla;7
asti;7
kaiken;7
luuli;7
alas;7
kaikkea;7
ritarimme;7
totta;7
suinkaan;7
saa;7
kaleereihin;7
kimppuun;7
meillä;6
eikö;6
hyvän;6
piti;6
heidät;6
pari;6
miehen;6
emännöitsijä;6
voisi;6
minusta;6
maasta;6
tarttui;6
hiukan;6
kaikesta;6
tunsi;6
kuka;6
tapaa;6
erään;6
aasinsa;6
sankarimme;6
jolloin;6
ottaa;6
pansa;6
sattumalta;6
rauhaan;6
huolimatta;6
tyttö;6
tahdon;6
myös;6
jälleen;6
muut;6
etteivät;6
tuolla;6
yli;6
ritareja;6
sinua;6
selästä;6
maailman;6
jotakin;6
suuresti;6
tavalla;6
ratsunsa;6
oman;6
ollenkaan;6
päästä;6
ritaria;6
nimen;6
parturin;6
kypärin;6
kyllin;6
talonpoika;6
jälkeen;6
saapuivat;6
sinä;6
ympäri;5
samalla;5
loitsija;5
ritarien;5
nousemaan;5
missään;5
vihdoin;5
aasilla;5
ebook;5
päässään;5
millä;5
portille;5
verran;5
teiltä;5
omasta;5
enempää;5
veljentytär;5
kääntyi;5
manchan;5
kävi;5
mielestään;5
kohotti;5
tälle;5
kypäri;5
kuullessaan;5
täällä;5
jättiläisiä;5
kuninkaan;5
ollen;5
me;5
tietää;5
tullut;5
puoleen;5
yhdessä;5
antoi;5
muita;5
emme;5
mennä;5
muka;5
sellaista;5
voin;5
vaeltavien;5
vuoroon;5
uusiin;5
lyöty;5
tänne;5
sinun;5
puolestaan;5
kauvan;5
kuvitteli;5
kaikkien;5
pitää;5
kaikista;5
kovin;5
matkalla;5
takasin;5
sellaisen;5
nähdä;5
mantuan;5
herransa;5
miestä;5
saada;5
taivas;5
ainakin;5
tarpeeksi;5
takaa;5
joiden;5
myöskin;5
emäntä;5
ystäväni;5
toisen;5
maksaa;5
enemmän;5
ennenkun;5
joku;5
nähnyt;5
oikeastaan;5
ritarille;5
oikein;5
puhellen;4
päättäen;4
neljä;4
the;4
sata;4
hyvät;4
hyvällä;4
pitänyt;4
tilassa;4
muurin;4
majatalosta;4
majatalossa;4
tavan;4
matkaansa;4
kaikkein;4
vaihtaa;4
matkan;4
kulkea;4
yön;4
tahtonut;4
tarkotuksessa;4
tietäkää;4
suuri;4
samassa;4
sellainen;4
paljon;4
seikkailuihin;4
pitkin;4
kuuden;4
gutenberg;4
varustetut;4
talon;4
vei;4
sisään;4
vettä;4
teillä;4
ainoa;4
asiasta;4
jossa;4
vatia;4
siltä;4
hänestä;4
älykkään;4
seikkailuja;4
tavoin;4
kaivon;4
usein;4
kyennyt;4
kernaasti;4
yönä;4
samaa;4
suoraan;4
paraiten;4
ette;4
näyttää;4
oikea;4
voineet;4
tietä;4
vasta;4
nimessä;4
perin;4
voisin;4
lisäsi;4
quijotea;4
of;4
jatkoi;4
tiedä;4
sukkela;4
täynnä;4
maritorne;4
sanaakaan;4
keihäs;4
oikeassa;4
nimensä;4
sinne;4
aasi;4
luokseen;4
paetko;4
selässä;4
ensi;4
auttamaan;4
millään;4
poikki;4
tuulimyllyjä;4
rodrigo;4
jätä;4
kehno;4
seikkailun;4
mukana;4
olin;4
itseänne;4
lakien;4
pakko;4
saisi;4
puhtaita;4
todella;4
omaa;4
välin;4
vuodeksi;4
miksi;4
kohti;4
jolleivät;4
omin;4
tahtoi;4
maailmassa;4
oven;4
laita;4
ihmeissään;4
oikeus;4
ehkä;4
liian;4
eteenpäin;4
palvelemaan;4
mistä;4
kai;4
maailmaan;4
ken;4
kertaa;4
liiaksi;4
onko;4
ystäväiseni;4
tuon;3
vuoden;3
hevosen;3
yksi;3
pää;3
joista;3
auttaa;3
eläinparka;3
hyvää;3
toiselle;3
toisella;3
asiat;3
isänsä;3
huomasi;3
asioita;3
syystä;3
vannoi;3
vannon;3
kotiinsa;3
paremmin;3
halki;3
vartijat;3
ottaen;3
kulki;3
matkaan;3
tuntien;3
pani;3
muutamia;3
syytä;3
tuimasti;3
huomaan;3
miehet;3
matkaa;3
tuohon;3
del;3
rautapaidan;3
quijotelle;3
voimin;3
voimme;3
talliin;3
milloinkaan;3
itselleni;3
etten;3
keskelle;3
kirkkoherran;3
maan;3
epäillyt;3
kenkään;3
peläten;3
dulcinea;3
mambrinuksen;3
lähti;3
arvasi;3
vaativan;3
kauniin;3
tunne;3
linnaksi;3
kirjat;3
syöksyi;3
arvon;3
project;3
monet;3
jottei;3
varustettu;3
keihästään;3
vauhtia;3
sittekun;3
mieleen;3
kuulla;3
rahaa;3
herrat;3
kuningas;3
lähestyvän;3
haavoitettuna;3
miltei;3
alaspäin;3
asepalvelusta;3
yhteensä;3
etsien;3
täyttä;3
aseensa;3
jalo;3
hetken;3
täytyi;3
huomattuaan;3
elä;3
käsivartensa;3
hyvänsä;3
cervantes;3
elkää;3
siellä;3
miguel;3
näiden;3
sille;3
paikkaan;3
orhilla;3
toisten;3
määrässä;3
puhui;3
paikalle;3
saman;3
etkö;3
tehnyt;3
ruveta;3
rikostaan;3
eräänä;3
vaivasi;3
hevoselleen;3
ritariston;3
portin;3
jotain;3
ynnä;3
vartijain;3
järjen;3
varsinkin;3
lahjoittaa;3
käydä;3
olisin;3
tullen;3
it;3
haavojaan;3
oh;3
etäällä;3
saaren;3
asemiehelleen;3
pysyi;3
paitsi;3
kantaa;3
viime;3
this;3
kädessä;3
joutua;3
surullisen;3
tavaroita;3
huolta;3
kanssaan;3
yö;3
tehneet;3
peitteen;3
kokonaisen;3
olento;3
ratsun;3
hyviä;3
seikkailujen;3
johtui;3
taisi;3
pidän;3
saivat;3
lopuksi;3
rosinantensa;3
vankan;3
ilmaan;3
hevosensa;3
näitä;3
lähtemään;3
tulen;3
vanki;3
ehdolla;3
järkensä;3
tilansa;3
pojan;3
nuori;3
liinavaatteita;3
ajan;3
maata;3
kilven;3
käski;3
askeleen;3
kokosi;3
tarkoin;3
hei;3
sopii;3
tiellä;3
lähtevän;3
herraseni;3
hartaasti;3
tahi;3
sydämmeni;3
tuokiossa;3
pelkästä;3
näistä;3
olleen;3
olleet;3
kiiruhti;3
hevoseni;3
saavedra;3
jolle;3
samaan;3
päällysmiehen;3
olisikaan;3
armollinen;3
muistan;3
roistoja;3
mielessään;3
lukenut;3
runsaasti;3
onkin;3
korkea;3
otti;3
heistä;3
sanoa;3
sanon;3
puheli;3
tavaraa;3
uuden;3
tahdo;3
kaunis;3
jatkoivat;3
talonpojan;3
ihmisten;3
narvaez;3
hädässä;3
miekan;3
tanassa;3
estää;3
laski;3
ajattelen;3
miellyttänyt;3
arvoisa;3
kirotut;3
vakuutetuksi;3
odottaa;3
maksun;3
uudelleen;3
oletteko;3
vanhat;3
mancha;3
kestää;3
tapaan;3
elämänvaiheet;3
penniäkään;3
kohden;3
viisas;3
milloin;3
väkivaltaa;3
aatelismiehemme;3
ritareista;3
yönsä;3
lähteä;3
toiset;3
kauppiaat;3
kutsui;3
kutsua;3
herrani;3
nähneet;3
muutamaan;3
elkääkä;3
sitäpaitsi;3
kasvot;3
viedä;3
tulla;3
asemiehensä;3
nähtyään;3
verraton;3
kostamaan;3
alati;3
mukanaan;3
saat;3
taistelussa;3
tapahtui;3
leikistä;3
ottanut;3
vähintäkään;3
kunniaa;3
vääryyttä;3
sain;3
tuomittiin;2
ilmottamaan;2
onpa;2
kantapäähän;2
vartija;2
yhden;2
varma;2
joutsen;2
a;2
o;2
rakkauteni;2
emännän;2
näkevänsä;2
sano;2
aihetta;2
kahden;2
päivä;2
edessään;2
viettää;2
mukaansa;2
ratsastaa;2
pudonnut;2
muistaisi;2
ilmiöt;2
mainitsemaan;2
kiitokset;2
ystävä;2
neitosia;2
iloissaan;2
toi;2
syvästi;2
kärsiviä;2
äkkäsi;2
ratsastaen;2
lausuen;2
asian;2
täyteen;2
täplikkäällä;2
esine;2
omiaan;2
linnaan;2
totisesti;2
uudestaan;2
reppunsa;2
näkemään;2
onnensa;2
ihmisiä;2
tulleet;2
muutaman;2
asemiehet;2
kysyen;2
auttoi;2
emännöitsijäkin;2
säilytetty;2
hullun;2
vieraan;2
saarten;2
ylen;2
syynä;2
tiuskasi;2
***;2
pitkä;2
mahdollista;2
kirjastohuonetta;2
omaani;2
jalkainsa;2
ritarina;2
kylän;2
samaten;2
jyrisi;2
olisikin;2
erehtynyt;2
yritti;2
hulluudesta;2
todellakin;2
sanonut;2
avasi;2
moisen;2
teki;2
kertomuksen;2
kiini;2
voivat;2
abindarraez;2
lue;2
luo;2
rosinantea;2
kotoisin;2
roteva;2
sitten;2
tuntui;2
toledon;2
sikseen;2
onnistunut;2
varustamaan;2
palvelija;2
kaatuneen;2
ilmaiseksi;2
vaeltavia;2
kuluttua;2
palata;2
tärkeämpää;2
tulevaisuudessa;2
ensimmäisellä;2
voima;2
käyttämällä;2
aasillaan;2
välittänyt;2
keihääseensä;2
muulinajajat;2
muulinajajan;2
käynyt;2
lähtivät;2
toimittaa;2
selkoa;2
ensinkään;2
toimeen;2
ensimmäiselle;2
näet;2
laihan;2
senpä;2
satulassa;2
quijotelta;2
markiisi;2
antautumaan;2
myöhemmin;2
use;2
syntyi;2
varuksensa;2
satulasta;2
ankarasti;2
voimaa;2
kylästä;2
ritarilakien;2
vangittu;2
maassa;2
huvia;2
linnana;2
ihmeellinen;2
satulaa;2
min;2
ansainnut;2
katseli;2
kaksisataa;2
portilla;2
joutuneen;2
peninkulmaa;2
öljyä;2
linnanherra;2
joutunut;2
tuulimyllyiksi;2
luvan;2
päivistä;2
sankari;2
näette;2
kuului;2
paholainen;2
saatu;2
saadakseen;2
