Text;Size
a;498
hogy;281
nem;268
s;263
e;246
az;223
és;194
de;138
is;131
egy;116
ön;103
ez;99
volt;97
én;93
sem;85
meg;77
ha;74
ki;72
mi;71
még;69
csak;66
midőn;64
mint;63
oly;62
őt;61
azon;54
el;53
mert;52
van;50
volna;50
már;48
mit;45
nő;41
ő;38
épen;38
azt;35
minden;34
vagy;32
ne;29
igen;27
ah;27
után;27
fiatal;27
fel;26
viktor;26
többé;26
mely;26
itt;26
tehát;25
igy;25
akkor;24
uram;23
kell;23
két;23
nincs;23
nekem;22
nap;22
vagyok;22
nélkül;22
legyen;22
ügyvéd;22
nehány;22
most;22
ember;21
…;20
által;20
barátom;20
iránt;20
magát;20
miként;19
önnek;19
alig;19
férje;18
talán;18
önt;18
azért;18
ily;18
lenni;18
miszerint;17
sokkal;17
fog;17
kinek;17
végre;17
férj;17
elég;17
lőn;17
alatt;17
pár;16
több;16
bár;16
édes;16
pedig;16
bizonyos;16
egészen;16
soha;16
némi;16
mindig;16
nőm;15
hanem;15
egész;15
idő;15
leend;15
óta;15
mily;14
asszonyom;14
mig;14
egyetlen;14
először;14
nagysád;14
vissza;14
te;14
annyi;14
más;14
mintha;14
ugyan;13
vannak;13
szép;13
uj;13
isten;13
magamat;13
bizonyára;13
melyet;13
miért;13
mindent;13
előtt;13
idegen;13
valami;13
azonban;13
kezdett;12
ugy;12
mondá;12
ezt;12
kissé;12
annyira;12
óra;12
the;11
hát;11
ismét;11
fogok;11
különben;11
legalább;11
aztán;11
kocsi;11
percz;11
sohasem;11
antal;11
első;11
mulva;11
rövid;11
csakhamar;11
ó;10
mind;10
velem;10
képes;10
endre;10
találtam;10
mondja;10
akarom;10
inkább;10
lenne;10
föl;10
lehet;9
maga;9
előttem;9
rám;9
szobába;9
vele;9
jó;9
oh;9
önnel;9
oka;9
helyett;9
szeret;9
egyenesen;9
történt;9
kedves;9
egyszer;9
boldog;9
szoba;9
felőle;9
adá;9
örökre;9
boldogtalan;9
úr;9
ezer;8
látszott;8
pillanatban;8
minő;8
neki;8
julie;8
be;8
kezd;8
szeretem;8
voltam;8
rá;8
érzém;8
kérem;8
engem;8
mindössze;8
daczára;8
hiszem;8
sőt;8
jött;8
nagy;8
tovább;8
élénk;8
át;8
adni;8
szabad;8
melynek;8
kit;8
együtt;8
hasztalan;7
jelen;7
mértékben;7
kezét;7
tevé;7
esetben;7
férfiu;7
nos;7
adám;7
fájdalom;7
élet;7
na;7
voltak;7
közt;7
hangon;7
közé;7
mintegy;7
birtam;7
kérdé;7
akarok;7
kiáltám;7
úgy;7
valék;7
semmi;7
ismeretlennőm;7
melyeket;7
valaki;7
tőn;7
tudja;7
olyan;7
tudom;7
öt;7
kis;7
semhogy;7
hisz;7
*;6
szavakkal;6
hang;6
felől;6
mondám;6
kivül;6
telt;6
szokott;6
balázs;6
sokat;6
felett;6
ebook;6
napon;6
ellen;6
kezdém;6
nőt;6
fogom;6
szavaim;6
értésére;6
végig;6
adott;6
azonnal;6
tökéletesen;6
sándor;6
ezelőtt;6
esküszöm;6
rajta;6
of;6
magam;6
magas;6
ott;6
venni;6
fekete;6
szemben;6
mindenki;6
arra;6
valának;6
kétszeres;6
melyek;6
atyja;6
szegény;6
igaza;6
olvasó;6
akar;6
ismeretlen;6
ide;6
nőmet;6
őszintén;6
alá;6
tekintetben;6
hozzám;6
év;6
valaha;6
teréz;6
mellyel;6
bocsánat;5
ezek;5
lett;5
életemben;5
dolog;5
erre;5
inas;5
annál;5
mellett;5
akár;5
fanni;5
majd;5
halvány;5
szenvedély;5
válni;5
puszta;5
fogja;5
szavait;5
forró;5
ágnes;5
neje;5
hosszas;5
öreg;5
jól;5
szerelem;5
viselete;5
éreztem;5
önök;5
észre;5
hideg;5
nemde;5
szót;5
uraim;5
mult;5
később;5
nejének;5
viseletében;5
szerencsétlen;5
hátha;5
nőnek;5
komolyan;5
kezemet;5
beszélj;5
melyen;5
esett;5
picziny;5
marie;5
érdekkel;5
szólva;5
kevésbé;5
perczben;5
szemei;5
mégis;5
nézve;5
vidéken;5
tudtára;5
között;5
tenni;5
lehetséges;5
él;5
kik;5
hozzá;5
igyekezzék;5
egyéb;5
jutottam;4
kötet;4
“;4
ezen;4
érzem;4
g;4
lovai;4
fájdalmas;4
utaztam;4
kerül;4
jutott;4
melyben;4
mosoly;4
halld;4
okát;4
kellemetlen;4
emberek;4
sohajtva;4
hóig;4
ismeri;4
figyelmét;4
ideig;4
meglehet;4
beszélyei;4
ereje;4
kiálta;4
lelkemre;4
értésemre;4
rendesen;4
nőd;4
előtted;4
üres;4
project;4
nyugodt;4
férfi;4
egyegy;4
mondd;4
találni;4
gutenberg;4
neked;4
kiknek;4
mennyit;4
világ;4
kötelesség;4
őszinte;4
mindaddig;4
forrón;4
teszi;4
valamely;4
elragadó;4
szavakat;4
bármily;4
köszönöm;4
láttára;4
mitsem;4
elé;4
utoljára;4
legfölebb;4
elő;4
korán;4
számára;4
amint;4
annyit;4
tova;4
zápor;4
találkozás;4
tisztességes;4
utazás;4
társaság;4
tessék;4
eszközölt;4
iszonyu;4
ajtót;4
beszél;4
oda;4
le;4
azelőtt;4
szemeim;4
vevé;4
kéz;4
utolsó;4
egyik;4
hangot;4
barátja;4
léptekkel;4
boldogtalanná;4
előttünk;4
légy;4
ajtaja;4
őket;4
azok;4
ellene;4
akartam;4
lehetett;4
gyöngéden;4
érzékeny;4
egyedül;4
gyönyör;4
szünet;4
mennyi;4
mondom;4
némileg;4
nyájas;4
kivel;4
tért;4
ezzel;4
you;4
annak;4
hol;4
okom;4
sötét;4
nővel;4
többször;4
okot;4
kocsmárosné;4
többet;4
ennek;4
benne;4
keresni;4
méltó;4
hiszen;4
azzal;4
érdeket;4
bókokat;4
minthogy;4
pinczér;4
kedvese;4
kocsisomnak;4
engemet;4
arcza;4
arczán;4
nézt;4
tudtomra;4
valódi;4
lányka;4
ezután;4
férjet;4
nyiltan;4
fényes;4
adja;4
kész;4
miket;4
valahányszor;4
viszonyok;4
sok;4
sor;4
órát;4
mondanom;4
sziv;4
hirtelen;4
önre;4
került;4
erőm;4
öntől;4
közől;4
máskép;4
körülmény;4
lépett;4
másodszor;4
emlékszem;3
távozik;3
halad;3
bárcsak;3
fakadt;3
minek;3
kötelességek;3
megengedi;3
természet;3
folyamodványt;3
hosszu;3
szavaimra;3
szándékosan;3
eszélyes;3
válaszolt;3
fiatalkori;3
jövök;3
órával;3
haza;3
fölvert;3
dolgokat;3
szereti;3
mivel;3
évvel;3
eszébe;3
mosolygott;3
érez;3
mert…;3
nagyon;3
tenném;3
beleegyezni;3
gyorsan;3
találkozánk;3
tett;3
gondolat;3
keltett;3
általa;3
jelenet;3
birt;3
addig;3
kétségbevonhatlan;3
sohajtozni;3
antalnak;3
mért;3
fekszik;3
gyönyöreit;3
perczet;3
kétszeresen;3
magának;3
szerető;3
perczig;3
női;3
agnes;3
történet;3
veled;3
valót;3
arról;3
esik;3
fenn;3
szüksége;3
felé;3
találok;3
finom;3
kiáltá;3
nevében;3
ifju;3
odahagyám;3
ágnest;3
mást;3
férjének;3
bájos;3
felindulás;3
vig;3
borzasztó;3
alkalmával;3
gőzös;3
magamnak;3
megállt;3
képet;3
tartom;3
szerencsém;3
szavak;3
nevezi;3
különös;3
hatást;3
igaz;3
örökös;3
ellenállhatlan;3
azután;3
hallani;3
eltelte;3
lehetlenné;3
álló;3
szavakra;3
féltékeny;3
rút;3
megragadva;3
mosollyal;3
szükséges;3
komoly;3
nejét;3
megérkezett;3
parancsol;3
szóval;3
végtelen;3
alól;3
kalandocska;3
nyugalom;3
érettem;3
ad;3
vetélytársam;3
arczomat;3
by;3
időben;3
kedveért;3
mosolyogva;3
bámulhatni;3
ej;3
eredményt;3
ekkor;3
ii;3
it;3
akaratom;3
szükség;3
szerelmi;3
benyomás;3
ok;3
sohajok;3
erélyt;3
kép;3
kér;3
szivem;3
this;3
egyet;3
valóban;3
fogadott;3
sajátságos;3
fölösleges;3
utat;3
szeretni;3
érdemes;3
készen;3
mindkét;3
maradjon;3
hagyjuk;3
sohajtott;3
távol;3
bántott;3
kivánt;3
jobban;3
legyek;3
szerelemnek;3
világon;3
karjaim;3
igyekszik;3
szeretetreméltó;3
modort;3
beszélt;3
pillanatnyi;3
pezsgős;3
megszólalt;3
maradni;3
költői;3
győződve;3
ragadtatva;3
attól;3
lép;3
kevés;3
magamra;3
találhatni;3
tanusitott;3
tovatünt;3
fővárosba;3
helyeken;3
kivánom;3
kivánok;3
távozám;3
állott;3
lépés;3
vágyak;3
hűség;3
szenvedő;3
irja;3
hallja;3
bánom;3
sokára;3
léptem;3
sietve;3
ajtó;3
utitársaim;3
soká;3
indult;3
kezei;3
honn;3
játszi;3
látom;3
kezdé;3
sincs;3
bánat;3
erővel;3
megcsalt;3
czélja;3
saját;3
kevesebb;3
kiálték;3
birja;3
mindannyiszor;3
adván;3
fontos;3
össze;3
visszatérni;3
elkövetett;3
szándékomat;3
örömest;3
bárkai;3
tréfa;3
magában;3
szenvedélyesen;3
érdekes;3
mód;3
végső;3
gyermekem;3
megszünt;3
fokra;3
hajnal;3
éjt;3
engedé;3
engedni;3
szerelmes;3
kaland;3
gyermekkori;3
véletlenül;3
tegyek;3
izgatott;3
ért;3
leányka;3
igaztalan;3
kelle;3
ama;3
bármely;3
