Text;Size
und;485
die;484
er;374
der;360
zu;281
sich;246
nicht;222
sie;212
war;198
in;188
gregor;187
den;184
das;159
es;156
mit;148
aber;147
dem;137
auf;134
hatte;128
ein;116
daß;111
als;104
auch;92
«;88
nur;88
im;84
an;82
um;79
schwester;79
ihn;78
wie;76
mutter;75
so;74
schon;72
von;72
vater;70
des;64
noch;64
aus;64
nun;63
ihm;60
denn;60
man;58
eine;56
wenn;55
zimmer;52
für;51
doch;49
ich;48
ganz;47
einen;46
ihr;45
da;44
tür;44
wieder;43
zum;42
dann;41
hätte;40
ist;40
konnte;40
jetzt;39
gregors;39
vor;38
mehr;37
mußte;36
sein;35
ja;34
seine;34
nach;34
sagte;34
diese;33
wohl;32
alles;32
durch;32
über;31
bei;31
gar;30
ohne;29
vielleicht;29
waren;29
prokurist;29
während;28
kopf;28
immer;28
sah;28
selbst;26
einer;26
unter;26
fast;26
was;25
sehr;25
seiner;25
bett;25
zeit;25
wollte;24
einem;24
seinem;23
einmal;23
eltern;23
können;22
ihre;22
seinen;22
familie;22
hatten;22
zur;22
wenig;21
seines;21
wurde;21
würde;21
alle;21
werden;21
haben;20
gleich;20
kleinen;19
am;19
nichts;19
beim;19
anderen;19
oder;19
sofort;18
machen;18
viel;18
daran;18
dort;17
vom;17
dachte;17
essen;17
lassen;17
wäre;17
zwei;16
machte;16
ihrer;16
rief;16
fenster;16
kanapee;16
stimme;16
habe;16
trotzdem;15
erst;15
sondern;15
mir;15
langsam;15
blieb;15
sehen;15
sogar;15
dieses;15
prokuristen;15
bis;15
hier;15
ersten;14
rücken;14
ging;14
etwas;14
ließ;14
herr;14
her;14
hin;14
sollte;14
dieser;14
ins;14
tisch;14
sei;14
zurück;14
ganze;14
lag;13
augen;13
öffnen;13
schien;13
zuerst;13
geschäft;13
kein;13
ob;13
natürlich;13
keine;13
früher;13
grete;13
augenblick;13
leben;13
gewesen;13
boden;13
nebenzimmer;12
mich;12
wirklich;12
andere;12
müssen;12
gerade;12
gewiß;12
sessel;12
anblick;12
türe;12
ruhig;12
allerdings;12
kasten;11
stand;11
beinchen;11
keinen;11
lange;11
wir;11
hause;11
ab;11
sagen;11
hielt;11
frauen;11
möbel;11
also;11
hörte;11
kaum;11
hand;10
fühlte;10
trotz;10
paar;10
verstand;10
bald;10
küche;10
geöffnet;10
bleiben;10
ganzen;10
chef;10
fiel;10
diesem;10
seite;10
abend;10
besser;10
schlüssel;10
übrigens;10
eigentlich;10
kam;10
zwar;9
weit;9
zimmers;9
teil;9
uhr;9
wohnzimmer;9
kriechen;9
still;9
worden;9
gegen;9
wußte;9
vaters;9
darüber;9
vollständig;9
gab;9
lief;9
wohnung;9
verlassen;9
gut;9
ihnen;9
vorzimmer;9
letzten;9
könne;9
dessen;9
leicht;9
tatsächlich;9
geworden;9
hören;9
weil;8
welche;8
darauf;8
gesicht;8
eben;8
brauchte;8
allen;8
recht;8
weise;8
niemand;8
damit;8
sonst;8
leintuch;8
morgen;8
eines;8
endlich;8
hinter;8
begann;8
vorsichtig;8
allein;8
später;8
diesen;8
fall;8
»ich;8
schloß;8
geld;8
bedienerin;8
tag;8
geschehen;8
gänzlich;7
weiter;7
genau;7
zustand;7
klang;7
infolge;7
vergessen;7
klar;7
alten;7
holen;7
langen;7
nehmen;7
werde;7
könnte;7
kleine;7
gegenwärtigen;7
sorgen;7
»was;7
genug;7
überhaupt;7
seit;7
bewegung;7
bloß;7
großen;7
besonders;7
würden;7
hat;7
lieber;7
sieben;7
zimmerherren;7
nacht;7
ruhe;7
warum;7
worte;7
drückte;7
dienstmädchen;7
gekommen;7
»gregor;7
hände;7
kann;7
fünf;7
liegen;6
statt;6
manchmal;6
bekam;6
wolle;6
meine;6
ihren;6
fest;6
körper;6
muß;6
niemals;6
davon;6
durfte;6
arbeit;6
merkte;6
dies;6
wollen;6
hilfe;6
rasch;6
aufmerksam;6
wo;6
möglichst;6
gegenüber;6
größte;6
offenbar;6
erfahren;6
wird;6
bringen;6
kommen;6
schwer;6
dagegen;6
wand;6
hob;6
hätten;6
dinge;6
zog;6
gesagt;6
stehen;6
schlug;6
wahrscheinlich;6
vorläufig;6
verwandlung;6
bin;6
wände;6
hing;6
zeitung;6
überdies;5
laufe;5
the;5
solle;5
tun;5
jahren;5
fallen;5
meinung;5
rücksicht;5
wegen;5
schwere;5
nieder;5
schob;5
ebook;5
herren;5
große;5
ihrem;5
allem;5
aller;5
schlaf;5
anders;5
stelle;5
immerhin;5
früheren;5
samsa;5
gedanken;5
wenigstens;5
grund;5
leise;5
händen;5
stellung;5
nötig;5
tages;5
schließlich;5
du;5
oft;5
abends;5
drei;5
jeden;5
sollen;5
körpers;5
mund;5
oben;5
arme;5
warf;5
trat;5
denken;5
teppich;5
absicht;5
tage;5
stets;5
leider;5
hunger;5
halten;5
