Text;Size;;;Size;;
e;746;;1;746;;
che;673;;2;673;;
l;470;;3;470;;
la;433;;4;433;;
a;373;;5;373;;
di;315;;6;315;;
non;233;;7;233;;
per;233;;8;233;;
ch;218;;9;218;;
io;185;;10;185;;
mi;170;;11;170;;
in;160;;12;160;;
li;156;;13;156;;
le;155;;14;155;;
è;151;;15;151;;
si;145;;16;145;;
i;140;;17;140;;
sì;131;;18;131;;
con;130;;19;130;;
de;124;;20;124;;
lo;122;;21;122;;
al;111;;22;111;;
d;109;;23;109;;
il;105;;24;105;;
tu;105;;25;105;;
da;101;;26;101;;
più;97;;27;97;;
un;92;;28;92;;
se;87;;29;87;;
come;87;;30;87;;
ma;78;;31;78;;
ne;78;;32;78;;
del;76;;33;76;;
me;75;;34;75;;
poi;73;;35;73;;
s;71;;36;71;;
quel;65;;37;65;;
nel;63;;38;63;;
disse;62;;39;62;;
mio;58;;40;58;;
canto;58;;41;58;;
»;57;;42;57;;
son;55;;43;55;;
era;54;;44;54;;
fu;53;;45;53;;
m;52;;46;52;;
ti;51;;47;51;;
quando;50;;48;50;;
noi;49;;49;49;;
così;49;;50;49;;
lor;48;;51;48;;
lui;47;;52;47;;
là;47;;53;47;;
quella;46;;54;46;;
sua;46;;55;46;;
una;43;;56;43;;
già;42;;57;42;;
tutto;41;;58;41;;
n;39;;59;39;;
ed;39;;60;39;;
vidi;39;;61;39;;
suo;37;;62;37;;
qual;36;;63;36;;
dal;36;;64;36;;
ancor;36;;65;36;;
ben;36;;66;36;;
o;35;;67;35;;
cui;35;;68;35;;
su;35;;69;35;;
ché;34;;70;34;;
ogne;34;;71;34;;
elli;34;;72;34;;
or;34;;73;34;;
poco;34;;74;34;;
altro;33;;75;33;;
gente;33;;76;33;;
fa;33;;77;33;;
loco;32;;78;32;;
ha;32;;79;32;;
tua;31;;80;31;;
fuor;31;;81;31;;
altra;31;;82;31;;
questa;31;;83;31;;
tanto;31;;84;31;;
però;31;;85;31;;
questo;30;;86;30;;
maestro;30;;87;30;;
inferno;30;;88;30;;
qui;30;;89;30;;
chi;29;;90;29;;
ciò;29;;91;29;;
mondo;29;;92;29;;
mai;28;;93;28;;
tal;28;;94;28;;
te;27;;95;27;;
giù;27;;96;27;;
duca;27;;97;27;;
perché;27;;98;27;;
tra;26;;99;26;;
dove;26;;100;26;;
gran;26;;101;26;;
ci;26;;102;26;;
terra;26;;103;26;;
occhi;26;;104;26;;
parte;26;;105;26;;
altri;25;;106;25;;
fui;25;;107;25;;
com;24;;108;24;;
colui;24;;109;24;;
avea;24;;110;24;;
né;23;;111;23;;
quivi;23;;112;23;;
tutti;23;;113;23;;
dio;22;;114;22;;
questi;22;;115;22;;
via;22;;116;22;;
voi;22;;117;22;;
ad;22;;118;22;;
esser;22;;119;22;;
sanza;22;;120;22;;
quell;22;;121;22;;
parole;21;;122;21;;
sé;21;;123;21;;
pur;21;;124;21;;
qua;21;;125;21;;
dentro;21;;126;21;;
quei;20;;127;20;;
mia;20;;128;20;;
sù;20;;129;20;;
piè;20;;130;20;;
c;19;;131;19;;
v;19;;132;19;;
sotto;19;;133;19;;
va;19;;134;19;;
col;18;;135;18;;
prima;18;;136;18;;
«o;18;;137;18;;
viso;18;;138;18;;
dinanzi;18;;139;18;;
tuo;17;;140;17;;
fece;17;;141;17;;
allor;17;;142;17;;
loro;17;;143;17;;
far;17;;144;17;;
ei;17;;145;17;;
tempo;17;;146;17;;
convien;17;;147;17;;
vita;17;;148;17;;
sia;17;;149;17;;
aere;16;;150;16;;
anima;16;;151;16;;
anime;16;;152;16;;
tutte;16;;153;16;;
quanto;16;;154;16;;
ciascun;16;;155;16;;
«maestro;15;;156;15;;
fanno;15;;157;15;;
color;15;;158;15;;
cerchio;15;;159;15;;
assai;15;;160;15;;
quelli;15;;161;15;;
sono;15;;162;15;;
fosse;15;;163;15;;
acqua;15;;164;15;;
dietro;15;;165;15;;
onde;15;;166;15;;
tre;14;;167;14;;
dissi;14;;168;14;;
dir;14;;169;14;;
mal;14;;170;14;;
men;14;;171;14;;
forte;14;;172;14;;
hanno;14;;173;14;;
vedi;14;;174;14;;
el;14;;175;14;;
ove;14;;176;14;;
cose;14;;177;14;;
quelle;14;;178;14;;
«se;14;;179;14;;
mente;14;;180;14;;
sol;14;;181;14;;
eran;13;;182;13;;
suoi;13;;183;13;;
sovra;13;;184;13;;
fé;13;;185;13;;
quali;13;;186;13;;
vi;13;;187;13;;
par;13;;188;13;;
primo;13;;189;13;;
morte;13;;190;13;;
fondo;13;;191;13;;
occhio;13;;192;13;;
alto;13;;193;13;;
rispuose;12;;194;12;;
sangue;12;;195;12;;
cor;12;;196;12;;
veder;12;;197;12;;
due;12;;198;12;;
alcun;12;;199;12;;
foco;12;;200;12;;
piedi;12;;201;12;;
ond;12;;202;12;;
ora;12;;203;12;;
alcuna;12;;204;12;;
voce;12;;205;12;;
ancora;12;;206;12;;
ciel;12;;207;12;;
selva;12;;208;12;;
sen;12;;209;12;;
amor;12;;210;12;;
tosto;12;;211;12;;
dolce;11;;212;11;;
punto;11;;213;11;;
parlar;11;;214;11;;
volte;11;;215;11;;
faccia;11;;216;11;;
fia;11;;217;11;;
quello;11;;218;11;;
città;11;;219;11;;
hai;11;;220;11;;
fatto;11;;221;11;;
petto;11;;222;11;;
sue;11;;223;11;;
certo;11;;224;11;;
the;10;;225;10;;
poeta;10;;226;10;;
paura;10;;227;10;;
uno;10;;228;10;;
uom;10;;229;10;;
man;10;;230;10;;
forza;10;;231;10;;
ripa;10;;232;10;;
fin;10;;233;10;;
genti;10;;234;10;;
vento;10;;235;10;;
divina;10;;236;10;;
nostro;10;;237;10;;
«or;10;;238;10;;
buon;10;;239;10;;
mosse;10;;240;10;;
mena;10;;241;10;;
cominciò;10;;242;10;;
grande;10;;243;10;;
valle;10;;244;10;;
passi;10;;245;10;;
passo;10;;246;10;;
ira;10;;247;10;;
ombra;10;;248;10;;
sempre;10;;249;10;;
porta;10;;250;10;;
parea;10;;251;10;;
secondo;10;;252;10;;
t;9;;253;9;;
coi;9;;254;9;;
prese;9;;255;9;;
mezzo;9;;256;9;;
lungo;9;;257;9;;
ebbe;9;;258;9;;
fede;9;;259;9;;
ver;9;;260;9;;
testa;9;;261;9;;
volse;9;;262;9;;
«perché;9;;263;9;;
colpa;9;;264;9;;
omo;9;;265;9;;
nostra;9;;266;9;;
costui;9;;267;9;;
basso;9;;268;9;;
tutta;9;;269;9;;
arte;9;;270;9;;
venimmo;9;;271;9;;
dimmi;9;;272;9;;
fummo;9;;273;9;;
etterno;9;;274;9;;
cotanto;9;;275;9;;
gridò;9;;276;9;;
mentre;9;;277;9;;
molto;9;;278;9;;
quest;9;;279;9;;
altrui;9;;280;9;;
lei;8;;281;8;;
miei;8;;282;8;;
disio;8;;283;8;;
dopo;8;;284;8;;
legge;8;;285;8;;
schiera;8;;286;8;;
mano;8;;287;8;;
cominciai;8;;288;8;;
vid;8;;289;8;;
vista;8;;290;8;;
forse;8;;291;8;;
piena;8;;292;8;;
riva;8;;293;8;;
dico;8;;294;8;;
perch;8;;295;8;;
ella;8;;296;8;;
ho;8;;297;8;;
vo;8;;298;8;;
tanta;8;;299;8;;
venir;8;;300;8;;
infino;8;;301;8;;
pena;8;;302;8;;
solo;8;;303;8;;
persona;8;;304;8;;
poscia;8;;305;8;;
modo;8;;306;8;;
rena;8;;307;8;;
molte;8;;308;8;;
ïo;8;;309;8;;
natura;8;;310;8;;
monte;7;;311;7;;
fiera;7;;312;7;;
dov;7;;313;7;;
lunga;7;;314;7;;
pioggia;7;;315;7;;
sinistra;7;;316;7;;
colei;7;;317;7;;
pensier;7;;318;7;;
no;7;;319;7;;
ov;7;;320;7;;
quale;7;;321;7;;
puoi;7;;322;7;;
quand;7;;323;7;;
cosa;7;;324;7;;
quasi;7;;325;7;;
trista;7;;326;7;;
«a;7;;327;7;;
fossi;7;;328;7;;
credi;7;;329;7;;
fortuna;7;;330;7;;
fama;7;;331;7;;
appresso;7;;332;7;;
mille;7;;333;7;;
ciascuna;7;;334;7;;
segnor;7;;335;7;;
destra;7;;336;7;;
ombre;7;;337;7;;
vanno;7;;338;7;;
verso;7;;339;7;;
sappi;7;;340;7;;
insieme;6;;341;6;;
pien;6;;342;6;;
presso;6;;343;6;;
rivolse;6;;344;6;;
intorno;6;;345;6;;
altre;6;;346;6;;
indi;6;;347;6;;
cammino;6;;348;6;;
fiere;6;;349;6;;
queste;6;;350;6;;
retro;6;;351;6;;
ebook;6;;352;6;;
essa;6;;353;6;;
speranza;6;;354;6;;
spirto;6;;355;6;;
quindi;6;;356;6;;
volto;6;;357;6;;
volsi;6;;358;6;;
savio;6;;359;6;;
inver;6;;360;6;;
pianto;6;;361;6;;
vegno;6;;362;6;;
nol;6;;363;6;;
donna;6;;364;6;;
suon;6;;365;6;;
giusto;6;;366;6;;
anche;6;;367;6;;
oltre;6;;368;6;;
fur;6;;369;6;;
giace;6;;370;6;;
coda;6;;371;6;;
virtù;6;;372;6;;
of;6;;373;6;;
bella;6;;374;6;;
oro;6;;375;6;;
nome;6;;376;6;;
venne;6;;377;6;;
nova;6;;378;6;;
sopra;6;;379;6;;
arco;6;;380;6;;
tristo;6;;381;6;;
bestia;6;;382;6;;
«e;6;;383;6;;
venire;6;;384;6;;
morta;6;;385;6;;
giustizia;6;;386;6;;
tornar;6;;387;6;;
ahi;6;;388;6;;
spiriti;6;;389;6;;
vide;6;;390;6;;
vien;6;;391;6;;
capo;6;;392;6;;
alta;6;;393;6;;
scorta;6;;394;6;;
«chi;6;;395;6;;
scender;6;;396;6;;
vivo;6;;397;6;;
vostra;6;;398;6;;
piace;6;;399;6;;
cielo;6;;400;6;;
maggior;6;;401;6;;
vendetta;6;;402;6;;
aver;6;;403;6;;
rispuosi;5;;404;5;;
guarda;5;;405;5;;
puote;5;;406;5;;
quai;5;;407;5;;
stato;5;;408;5;;
dolor;5;;409;5;;
dritto;5;;410;5;;
furon;5;;411;5;;
vedrai;5;;412;5;;
tondo;5;;413;5;;
anzi;5;;414;5;;
tòrre;5;;415;5;;
mar;5;;416;5;;
senno;5;;417;5;;
«non;5;;418;5;;
lasso;5;;419;5;;
mani;5;;420;5;;
amore;5;;421;5;;
dolore;5;;422;5;;
cominciar;5;;423;5;;
esto;5;;424;5;;
gravi;5;;425;5;;
parola;5;;426;5;;
andar;5;;427;5;;
strada;5;;428;5;;
pietà;5;;429;5;;
risposta;5;;430;5;;
cortese;5;;431;5;;
co;5;;432;5;;
giron;5;;433;5;;
dì;5;;434;5;;
udito;5;;435;5;;
diss;5;;436;5;;
entro;5;;437;5;;
re;5;;438;5;;
allora;5;;439;5;;
segno;5;;440;5;;
venni;5;;441;5;;
tante;5;;442;5;;
colà;5;;443;5;;
«la;5;;444;5;;
costa;5;;445;5;;
nostri;5;;446;5;;
novo;5;;447;5;;
facea;5;;448;5;;
tardi;5;;449;5;;
giuso;5;;450;5;;
voglia;5;;451;5;;
pietra;5;;452;5;;
parlando;5;;453;5;;
stanno;5;;454;5;;
dante;5;;455;5;;
antico;5;;456;5;;
tale;5;;457;5;;
sola;5;;458;5;;
«l;5;;459;5;;
«s;5;;460;5;;
fosso;5;;461;5;;
que;5;;462;5;;
siede;5;;463;5;;
stesso;5;;464;5;;
erano;5;;465;5;;
contra;5;;466;5;;
spalle;5;;467;5;;
buona;5;;468;5;;
rio;5;;469;5;;
sarai;5;;470;5;;
ali;5;;471;5;;
grado;5;;472;5;;
omai;5;;473;5;;
sospiri;5;;474;5;;
scoglio;5;;475;5;;
sai;5;;476;5;;
alte;5;;477;5;;
tenne;5;;478;5;;
«che;5;;479;5;;
sette;5;;480;5;;
dolenti;5;;481;5;;
vostro;5;;482;5;;
parve;5;;483;5;;
sien;5;;484;5;;
ambo;5;;485;5;;
posta;5;;486;5;;
discende;5;;487;5;;
«qual;5;;488;5;;
porte;5;;489;5;;
medesmo;5;;490;5;;
verrà;5;;491;5;;
tai;5;;492;5;;
tuoi;4;;493;4;;
onor;4;;494;4;;
padre;4;;495;4;;
sanz;4;;496;4;;
sarebbe;4;;497;4;;
avante;4;;498;4;;
sarà;4;;499;4;;
dimando;4;;500;4;;
rota;4;;501;4;;
intrare;4;;502;4;;
proda;4;;503;4;;
roccia;4;;504;4;;
tue;4;;505;4;;
stava;4;;506;4;;
legno;4;;507;4;;
anni;4;;508;4;;
crudele;4;;509;4;;
umana;4;;510;4;;
principio;4;;511;4;;
strazio;4;;512;4;;
aspetto;4;;513;4;;
furo;4;;514;4;;
dar;4;;515;4;;
corpo;4;;516;4;;
tema;4;;517;4;;
seguaci;4;;518;4;;
grand;4;;519;4;;
universo;4;;520;4;;
smarrito;4;;521;4;;
ebbi;4;;522;4;;
lungi;4;;523;4;;
fiamme;4;;524;4;;
male;4;;525;4;;
accorto;4;;526;4;;
accorsi;4;;527;4;;
onore;4;;528;4;;
denti;4;;529;4;;
gutenberg;4;;530;4;;
quinci;4;;531;4;;
braccia;4;;532;4;;
lingua;4;;533;4;;
argento;4;;534;4;;
saver;4;;535;4;;
volta;4;;536;4;;
sonno;4;;537;4;;
lieta;4;;538;4;;
vuol;4;;539;4;;
rotta;4;;540;4;;
vuo;4;;541;4;;
ecco;4;;542;4;;
duolo;4;;543;4;;
piante;4;;544;4;;
cerbero;4;;545;4;;
voler;4;;546;4;;
pieta;4;;547;4;;
imagine;4;;548;4;;
collo;4;;549;4;;
dicendo;4;;550;4;;
commedia;4;;551;4;;
gridando;4;;552;4;;
vede;4;;553;4;;
troppo;4;;554;4;;
fec;4;;555;4;;
compagni;4;;556;4;;
innanzi;4;;557;4;;
martiro;4;;558;4;;
suso;4;;559;4;;
dicea;4;;560;4;;
segnore;4;;561;4;;
elle;4;;562;4;;
somma;4;;563;4;;
cu;4;;564;4;;
vene;4;;565;4;;
figliuol;4;;566;4;;
dire;4;;567;4;;
palude;4;;568;4;;
venisse;4;;569;4;;
nulla;4;;570;4;;
brano;4;;571;4;;
cotai;4;;572;4;;
lagrime;4;;573;4;;
veggio;4;;574;4;;
piange;4;;575;4;;
intesi;4;;576;4;;
nostre;4;;577;4;;
doloroso;4;;578;4;;
note;4;;579;4;;
temendo;4;;580;4;;
novi;4;;581;4;;
«tu;4;;582;4;;
buia;4;;583;4;;
folle;4;;584;4;;
ciglia;4;;585;4;;
bocca;4;;586;4;;
porse;4;;587;4;;
verde;4;;588;4;;
tien;4;;589;4;;
rispuos;4;;590;4;;
tronco;4;;591;4;;
sentenza;4;;592;4;;
«qui;4;;593;4;;
han;4;;594;4;;
piaggia;4;;595;4;;
mossi;4;;596;4;;
mosso;4;;597;4;;
offende;4;;598;4;;
fronte;4;;599;4;;
membra;4;;600;4;;
letto;4;;601;4;;
diverse;4;;602;4;;
you;4;;603;4;;
discese;4;;604;4;;
greve;4;;605;4;;
credo;4;;606;4;;
nferno;4;;607;4;;
fine;4;;608;4;;
guai;4;;609;4;;
spesso;4;;610;4;;
sovr;4;;611;4;;
dintorno;4;;612;4;;
andare;4;;613;4;;
ratto;4;;614;4;;
martìri;4;;615;4;;
cima;4;;616;4;;
chirón;4;;617;4;;
buono;4;;618;4;;
fiume;4;;619;4;;
quanti;4;;620;4;;
sarei;4;;621;4;;
etterna;4;;622;4;;
tormento;4;;623;4;;
conobbi;4;;624;4;;
cagion;4;;625;4;;
duol;4;;626;4;;
eravamo;4;;627;4;;
spirito;4;;628;4;;
percosse;4;;629;4;;
fïate;4;;630;4;;
dura;4;;631;4;;
sedea;4;;632;4;;
luce;4;;633;4;;
san;4;;634;4;;
fuggir;4;;635;4;;
disdegno;4;;636;4;;
vada;4;;637;4;;
detto;4;;638;4;;
bel;4;;639;4;;
riguardar;4;;640;4;;
dolente;4;;641;4;;
avesse;4;;642;4;;
vinse;4;;643;4;;
aura;4;;644;4;;
simile;4;;645;4;;
largo;4;;646;4;;
posso;4;;647;4;;
argine;4;;648;4;;
sui;4;;649;4;;
porti;4;;650;4;;
nuova;4;;651;4;;
guerra;4;;652;4;;
”;3;;653;3;;
vuolsi;3;;654;3;;
corpi;3;;655;3;;
u;3;;656;3;;
caccia;3;;657;3;;
roma;3;;658;3;;
fioco;3;;659;3;;
puose;3;;660;3;;
dolci;3;;661;3;;
corda;3;;662;3;;
rote;3;;663;3;;
schermo;3;;664;3;;
minor;3;;665;3;;
piangendo;3;;666;3;;
sarò;3;;667;3;;
oscura;3;;668;3;;
state;3;;669;3;;
pace;3;;670;3;;
levò;3;;671;3;;
margini;3;;672;3;;
pria;3;;673;3;;
attende;3;;674;3;;
umani;3;;675;3;;
dai;3;;676;3;;
parean;3;;677;3;;
corso;3;;678;3;;
temo;3;;679;3;;
saranno;3;;680;3;;
avarizia;3;;681;3;;
ferro;3;;682;3;;
apparve;3;;683;3;;
selvaggia;3;;684;3;;
cadere;3;;685;3;;
fermo;3;;686;3;;
vecchio;3;;687;3;;
animo;3;;688;3;;
mie;3;;689;3;;
star;3;;690;3;;
project;3;;691;3;;
nesso;3;;692;3;;
beata;3;;693;3;;
acquista;3;;694;3;;
vai;3;;695;3;;
branche;3;;696;3;;
lingue;3;;697;3;;
tomba;3;;698;3;;
esti;3;;699;3;;
stige;3;;700;3;;
spirti;3;;701;3;;
esso;3;;702;3;;
esta;3;;703;3;;
abisso;3;;704;3;;
ascolta;3;;705;3;;
bolgia;3;;706;3;;
stelle;3;;707;3;;
stella;3;;708;3;;
facevan;3;;709;3;;
chiavi;3;;710;3;;
manifesto;3;;711;3;;
sapïenza;3;;712;3;;
labbia;3;;713;3;;
verranno;3;;714;3;;
profondo;3;;715;3;;
pianta;3;;716;3;;
pieno;3;;717;3;;
suono;3;;718;3;;
tinta;3;;719;3;;
sospesi;3;;720;3;;
alighieri;3;;721;3;;
fai;3;;722;3;;
fan;3;;723;3;;
dice;3;;724;3;;
alquanto;3;;725;3;;
malvagia;3;;726;3;;
conoscenza;3;;727;3;;
ai;3;;728;3;;
rende;3;;729;3;;
bulicame;3;;730;3;;
acciò;3;;731;3;;
fora;3;;732;3;;
pensai;3;;733;3;;
presente;3;;734;3;;
vero;3;;735;3;;
it;3;;736;3;;
terzo;3;;737;3;;
nullo;3;;738;3;;
dite;3;;739;3;;
od;3;;740;3;;
oh;3;;741;3;;
aiuta;3;;742;3;;
campagna;3;;743;3;;
discerno;3;;744;3;;
lì;3;;745;3;;
favella;3;;746;3;;
cotal;3;;747;3;;
sa;3;;748;3;;
pugna;3;;749;3;;
cammin;3;;750;3;;
so;3;;751;3;;
«da;3;;752;3;;
trova;3;;753;3;;
dovea;3;;754;3;;
this;3;;755;3;;
cenno;3;;756;3;;
talento;3;;757;3;;
«il;3;;758;3;;
«in;3;;759;3;;
costì;3;;760;3;;
«le;3;;761;3;;
«lo;3;;762;3;;
giorno;3;;763;3;;
orribil;3;;764;3;;
«oh;3;;765;3;;
alcuno;3;;766;3;;
nove;3;;767;3;;
felice;3;;768;3;;
ultimo;3;;769;3;;
miseri;3;;770;3;;
avere;3;;771;3;;
pozzo;3;;772;3;;
avete;3;;773;3;;
gridava;3;;774;3;;
