Text;Size
de;1005
la;703
que;534
el;524
y;472
a;425
su;337
en;333
no;282
un;270
se;266
los;248
una;195
le;167
por;149
con;147
es;135
las;129
del;122
sus;118
usted;113
al;113
más;112
para;105
lo;97
como;96
pero;92
señora;81
sin;79
había;69
duquesa;67
era;66
doctor;62
señor;61
me;60
si;57
ha;56
todo;55
duque;55
chermidy;49
dos;45
yo;45
germana;45
él;44
todos;43
ni;42
mujer;41
ella;40
hasta;39
dijo;39
mi;39
años;39
ya;39
conde;38
nada;37
villanera;36
muy;36
qué;36
casa;36
sobre;35
bien;33
parís;32
o;31
hijo;31
tan;31
cuando;29
hombre;28
don;27
tenía;27
diego;27
hija;27
pobre;27
tour;26
embleuse;26
todas;25
está;24
entre;24
vida;24
mismo;24
hizo;24
estaba;23
día;23
hubiera;23
bris;22
uno;21
francos;21
aquel;21
tiene;21
familia;21
marido;21
nunca;21
padre;20
mil;20
vez;20
esta;20
así;20
habían;19
sí;19
ojos;19
desde;19
mundo;19
hacer;18
eso;18
tanto;18
podía;18
tiempo;18
fortuna;18
madre;18
joven;18
tal;18
niño;17
tres;17
puede;17
son;17
fue;16
nombre;16
hay;16
poco;16
viejo;16
hace;16
manos;15
podido;15
hombres;15
nos;15
he;15
buena;15
condesa;15
cada;15
veces;15
dinero;15
siempre;14
»;14
mal;14
algunas;14
antes;14
aquella;14
mucho;14
respondió;14
demasiado;14
hubiese;14
decir;14
mejor;13
mano;13
visto;13
donde;13
año;13
renta;13
estado;13
esposa;13
querido;13
enferma;13
pronto;13
días;13
sabe;13
matrimonio;12
esas;12
ver;12
este;12
aquí;12
viuda;12
después;12
calle;12
corazón;12
boda;12
cama;12
ser;12
gran;11
médico;11
dios;11
decía;11
mí;11
oro;11
amigo;11
dicho;11
fuese;11
sido;11
tengo;11
vista;10
obstante;10
cuanto;10
puesto;10
hora;10
otra;10
pulmón;10
último;10
durante;10
señorita;10
aun;10
gracias;10
cinco;10
miedo;9
puerta;9
encontró;9
entonces;9
toda;9
honor;9
quería;9
cabeza;9
habría;9
mujeres;9
además;9
diez;9
hermosa;9
pues;9
noble;9
sanglié;9
menos;9
será;9
lado;9
perdido;9
nosotros;9
hecho;9
mañana;9
mío;9
iba;9
otro;9
brazos;9
habitación;9
porque;9
gentes;9
sea;9
muerte;9
cómo;9
tener;9
cincuenta;9
cosas;8
ante;8
otros;8
italia;8
mis;8
niña;8
medio;8
grandes;8
cuarenta;8
aquellas;8
fin;8
interés;8
seis;8
buen;8
querida;8
tarde;8
pan;8
nadie;8
sabía;8
negro;8
gómez;8
momento;8
verdad;8
algo;8
miseria;8
misma;8
bastante;7
pies;7
hacia;7
cuidados;7
parecía;7
pasó;7
volvió;7
frío;7
coche;7
