Text;Size
t;592
e;482
a;400
i;348
r;327
n;257
s;238
o;222
l;203
p;184
de;149
c;129
d;121
tika;102
h;90
g;82
f;81
u;81
m;77
el;73
en;66
la;61
que;56
x;55
apache;51
y;47
un;45
k;42
los;38
del;33
v;32
org;32
new;30
podemos;30
https;29
es;26
para;25
se;24
como;23
parser;21
por;20
texto;19
b;18
ta;18
fichero;18
pdf;17
j;16
con;16
una;16
rg;16
las;15
jar;15
ejemplo;15
system;14
metada;14
nos;14
or;14
html;14
forma;13
documento;13
metadatos;13
extraer;12
ejemplos;12
app;11
name;11
documentos;11
xml;10
conten;10
and;10
contenido;10
este;10
java;9
document;9
utilizar;9
lo;9
si;9
información;9
z;8
formato;8
podremos;8
ugr;8
encontrar;8
distintos;8
www;8
og;8
outpu;8
w;7
puede;7
xhtml;7
tipo;7
mime;7
al;7
sobre;7
url;7
salida;7
permite;6
donde;6
gui;6
etc;6
entregar;6
así;6
log;6
web;6
más;6
id;6
le;6
no;6
práctica;6
type;6
ficheros;6
aplicaciones;5
thand;5
cada;5
com;5
caso;5
simple;5
lenguaje;5
sax;5
ch;5
image;5
digitales;5
clase;5
frecuencia;5
tipos;5
mas;5
descargar;5
gráfico;5
use;5
pdfparser;5
on;5
metadata;5
bodyconten;5
realizar;5
entrada;5
esto;5
utilizando;5
example;4
formatos;4
http;4
tml;4
hemos;4
siguiente;4
análisis;4
hacer;4
datos;4
png;4
pero;4
contenthandler;4
tada;4
codificación;4
página;4
computación;4
partir;4
in;4
depar;4
tamaño;4
ln;4
main;4
uso;4
me;4
libro;4
met;4
amen;4
th;4
to;4
incluir;4
considerar;4
enlaces;4
método;4
proporciona;4
ver;4
menos;3
versión;3
visto;3
chxml;3
eje;3
textual;3
todo;3
confluence;3
iso;3
herramienta;3
encoding;3
parsed;3
formats;3
detección;3
decsai;3
ioma;3
orden;3
interfaz;3
escrito;3
mode;3
application;3
nivel;3
objetivo;3
asf;3
mismos;3
fecha;3
tohtmlhandler;3
tareas;3
bien;3
trunk;3
cwiki;3
cuando;3
display;3
través;3
queremos;3
proceso;3
you;3
sea;3
by;3
cp;3
ejecutar;3
sin;3
length;3
parse;3
