Text;Size
de;753
que;585
y;566
la;461
en;395
el;365
a;353
no;219
los;204
con;165
se;146
las;140
su;133
es;131
lo;131
hamlet;123
por;123
del;112
un;108
mi;95
le;88
yo;88
al;85
más;84
horacio;81
una;79
si;77
como;76
me;74
pero;73
polonio;70
sus;65
sí;64
qué;64
él;57
para;53
señor;52
ha;52
o;51
ni;51
este;49
te;46
esta;44
ya;44
marcelo;44
os;43
así;43
tu;40
sin;38
bien;35
tan;35
tal;34
padre;32
todo;32
fin;31
aquel;31
shakespeare;30
rey;30
claudio;29
cuando;28
tiempo;28
escena;28
bernardo;27
pues;27
oh;27
ofelia;27
otra;27
vez;26
teatro;26
tú;25
noche;24
entre;24
han;23
mismo;23
esto;22
muy;22
he;22
son;22
dos;21
aunque;21
todos;21
verdad;21
estos;20
está;20
gertrudis;20
donde;19
nada;19
puede;19
ser;19
cierto;18
parece;18
dios;18
aquella;18
has;18
nación;17
era;17
ella;17
dinamarca;17
mí;17
talento;17
aquí;17
nosotros;17
había;17
corazón;17
sea;17
sombra;16
sólo;16
reynaldo;16
vosotros;16
nuestra;16
fue;16
cosa;16
después;16
alma;16
allí;16
cielo;16
siempre;15
mis;15
cuanto;15
eso;15
será;15
ojos;15
razón;15
vuestra;15
hay;15
obras;15
veces;15
gusto;14
visto;14
nos;14
menos;14
quién;14
laertes;14
hoy;14
guillermo;14
hubiera;14
adiós;13
ellos;13
esa;13
hombre;13
nuestro;13
algunos;13
antes;13
vuestro;13
mucho;13
otro;13
naturaleza;13
porque;13
hija;13
amor;13
entonces;12
quiero;12
toda;12
estas;12
amigos;12
aún;12
dicho;12
ahora;12
príncipe;12
ellas;12
parte;12
muerte;12
e;11
otras;11
sobre;11
hasta;11
mayor;11
aquellos;11
francisco;11
buen;11
arte;11
hecho;11
día;11
vida;11
falta;11
según;11
todavía;11
tus;10
dar;10
tierra;10
haber;10
mal;10
también;10
cabeza;10
dice;10
ah;10
muchas;10
ti;10
lugar;10
causa;10
puedes;10
defectos;10
misma;10
decir;10
hijo;10
sangre;9
otros;9
guardia;9
cual;9
voz;9
aquellas;9
mérito;9
eh;9
efecto;9
vi;9
público;9
debes;9
mío;9
contra;9
debe;9
autor;9
alguna;9
hablar;8
eres;8
halló;8
habla;8
fortimbrás;8
tales;8
vista;8
cuerpo;8
cualquiera;8
gran;8
carácter;8
puesto;8
amigo;8
país;8
obra;8
inglaterra;8
nadie;8
nunca;8
solo;8
nuevo;8
nuestros;8
poco;8
duda;8
hemos;8
modo;8
aun;8
mundo;8
traducción;8
señores;8
joven;8
tengo;8
quien;7
hacer;7
eran;7
dramas;7
dio;7
tragedia;7
uno;7
fantasía;7
ideas;7
propia;7
quiere;7
hombres;7
estoy;7
ruego;7
demás;7
medio;7
misterios;7
piezas;7
necesidad;7
sé;7
superior;7
