Text;Size
de;1019
et;507
le;507
la;454
à;435
l;386
d;362
il;337
les;247
en;242
du;197
que;183
qui;174
qu;158
un;156
des;147
pour;146
son;144
lui;141
avait;130
éon;128
une;120
dans;119
au;117
se;117
sa;116
plus;104
ne;99
par;96
s;92
était;91
avec;86
roi;83
ce;82
pas;81
ses;81
sur;80
n;78
même;77
on;68
fut;62
cette;61
elle;55
m;52
mais;51
a;50
duc;49
tout;48
france;48
où;47
vous;45
est;44
russie;43
je;42
comte;42
comme;42
faire;41
chevalier;41
ministre;40
bien;35
broglie;35
si;35
prince;34
été;34
douglas;33
aux;33
louis;32
fort;31
aussi;31
y;30
dont;30
fait;30
nivernais;30
ambassadeur;29
saint;29
être;28
c;28
sans;28
impératrice;28
élisabeth;28
tous;27
ainsi;27
devait;27
conti;26
fit;25
temps;25
avaient;24
secret;24
londres;24
xv;24
angleterre;23
mission;23
ces;22
encore;22
anglais;21
bestuchef;21
versailles;21
point;21
»;20
secrète;20
toute;20
pétersbourg;20
ambassade;20
cour;20
étaient;20
après;20
maréchal;19
armée;19
ou;19
nous;19
pendant;19
deux;19
affaires;18
peu;18
chez;18
grande;18
woronzow;17
chancelier;17
hospital;17
tercier;17
avoir;17
traité;17
paris;17
paix;16
très;16
toutes;16
politique;16
alors;16
marquis;16
prendre;15
guerchy;15
moins;15
déjà;15
aurait;15
secrétaire;15
succès;15
petit;15
sous;15
venait;15
car;15
pologne;14
propre;14
mettre;14
leur;14
effet;14
serait;14
fois;14
jusqu;14
assez;14
jeune;14
voir;14
contre;14
tsarine;14
suis;13
carrière;13
ans;13
trouvait;13
diplomatie;13
guerre;13
j;12
the;12
mieux;12
depuis;12
correspondance;12
grand;12
mon;12
général;12
donner;12
homme;12
nouveau;12
praslin;12
quelques;12
bon;12
choiseul;11
premier;11
celui;11
alliance;11
donc;11
pays;11
cependant;11
auprès;11
porter;11
peine;11
souvent;11
peut;11
enfin;11
cet;10
garde;10
négociations;10
majesté;10
ministère;10
rien;10
doute;10
me;10
su;10
toujours;10
chef;10
passer;10
trop;10
sont;10
tard;10
ils;10
accession;10
allait;10
aucun;10
autre;10
