Text;Size
e;746
che;673
l;470
la;433
a;373
di;315
non;233
per;233
ch;218
io;185
mi;170
in;160
li;156
le;155
è;151
si;145
i;140
sì;131
con;130
de;124
lo;122
al;111
d;109
il;105
tu;105
da;101
più;97
un;92
se;87
come;87
ma;78
ne;78
del;76
me;75
poi;73
s;71
quel;65
nel;63
disse;62
mio;58
canto;58
»;57
son;55
era;54
fu;53
m;52
ti;51
quando;50
noi;49
così;49
lor;48
lui;47
là;47
quella;46
sua;46
una;43
già;42
tutto;41
n;39
ed;39
vidi;39
suo;37
qual;36
dal;36
ancor;36
ben;36
o;35
cui;35
su;35
ché;34
ogne;34
elli;34
or;34
poco;34
altro;33
gente;33
fa;33
loco;32
ha;32
tua;31
fuor;31
altra;31
questa;31
tanto;31
però;31
questo;30
maestro;30
inferno;30
qui;30
chi;29
ciò;29
mondo;29
mai;28
tal;28
te;27
giù;27
duca;27
perché;27
tra;26
dove;26
gran;26
ci;26
terra;26
occhi;26
parte;26
altri;25
fui;25
com;24
colui;24
avea;24
né;23
quivi;23
tutti;23
dio;22
questi;22
via;22
voi;22
ad;22
esser;22
sanza;22
quell;22
parole;21
sé;21
pur;21
qua;21
dentro;21
quei;20
mia;20
sù;20
piè;20
c;19
v;19
sotto;19
va;19
col;18
prima;18
«o;18
viso;18
dinanzi;18
tuo;17
fece;17
allor;17
loro;17
far;17
ei;17
tempo;17
convien;17
vita;17
sia;17
aere;16
anima;16
anime;16
tutte;16
quanto;16
ciascun;16
«maestro;15
fanno;15
color;15
cerchio;15
assai;15
quelli;15
sono;15
fosse;15
acqua;15
dietro;15
onde;15
tre;14
dissi;14
dir;14
mal;14
men;14
forte;14
hanno;14
vedi;14
el;14
ove;14
cose;14
quelle;14
«se;14
mente;14
sol;14
eran;13
suoi;13
sovra;13
fé;13
quali;13
vi;13
par;13
primo;13
morte;13
fondo;13
occhio;13
alto;13
rispuose;12
sangue;12
cor;12
veder;12
due;12
alcun;12
foco;12
piedi;12
ond;12
ora;12
alcuna;12
voce;12
ancora;12
ciel;12
selva;12
sen;12
amor;12
tosto;12
dolce;11
punto;11
parlar;11
volte;11
faccia;11
fia;11
quello;11
città;11
hai;11
fatto;11
petto;11
sue;11
certo;11
the;10
poeta;10
paura;10
uno;10
uom;10
man;10
forza;10
ripa;10
fin;10
genti;10
vento;10
divina;10
nostro;10
«or;10
buon;10
mosse;10
mena;10
cominciò;10
grande;10
valle;10
passi;10
passo;10
ira;10
ombra;10
sempre;10
porta;10
parea;10
secondo;10
t;9
coi;9
prese;9
mezzo;9
lungo;9
ebbe;9
fede;9
ver;9
testa;9
volse;9
«perché;9
colpa;9
omo;9
nostra;9
costui;9
basso;9
tutta;9
arte;9
venimmo;9
dimmi;9
fummo;9
etterno;9
cotanto;9
gridò;9
mentre;9
molto;9
quest;9
altrui;9
lei;8
miei;8
disio;8
dopo;8
legge;8
schiera;8
mano;8
cominciai;8
vid;8
vista;8
forse;8
piena;8
riva;8
dico;8
perch;8
ella;8
ho;8
vo;8
tanta;8
venir;8
infino;8
pena;8
solo;8
persona;8
poscia;8
modo;8
rena;8
molte;8
ïo;8
natura;8
monte;7
fiera;7
dov;7
lunga;7
pioggia;7
sinistra;7
colei;7
pensier;7
no;7
ov;7
quale;7
puoi;7
quand;7
cosa;7
quasi;7
trista;7
«a;7
fossi;7
credi;7
fortuna;7
fama;7
appresso;7
mille;7
ciascuna;7
segnor;7
destra;7
ombre;7
vanno;7
verso;7
sappi;7
insieme;6
pien;6
presso;6
rivolse;6
intorno;6
altre;6
indi;6
cammino;6
fiere;6
queste;6
retro;6
ebook;6
