Text;Size
de;653
y;453
la;432
el;388
en;310
que;279
a;202
los;202
se;186
las;182
un;180
platero;145
del;143
una;122
con;114
su;112
por;102
al;101
como;90
le;70
me;61
no;61
yo;60
lo;57
qué;49
entre;45
más;45
es;42
sus;42
ya;40
sin;38
sol;38
niños;36
cielo;35
cuando;34
mi;33
para;31
él;30
sobre;29
rosas;29
todo;27
si;26
campo;26
está;25
tan;24
bajo;23
ojos;23
va;22
tarde;21
luego;20
oro;20
flor;19
cual;19
pueblo;19
azul;19
luna;19
parece;18
mira;18
ha;18
tú;18
había;18
pronto;18
viento;18
cómo;18
vez;17
verde;17
flores;17
sombra;16
o;16
día;16
cristal;16
otro;16
otra;16
rosa;15
agua;15
estrellas;15
pero;15
blanca;15
pobre;15
niño;14
nos;14
ni;14
desde;14
triste;14
casa;14
plata;14
hasta;13
era;13
ella;13
he;13
sé;13
alma;13
allá;13
igual;13
hacia;12
dos;12
todos;12
hombres;12
ves;12
toda;12
noche;12
hombre;12
alegre;12
blanco;12
hace;12
tierra;11
amarillos;11
grandes;11
cabeza;11
fin;11
mí;11
ve;11
lado;11
han;11
hay;11
nada;11
veces;11
verdad;11
camino;11
canto;11
mis;10
mano;10
blancas;10
esta;10
niña;10
lejos;10
tiene;10
tu;10
pura;10
sí;10
nosotros;10
calle;10
hora;10
poco;10
corazón;10
grande;10
pájaros;10
arriba;10
boca;10
cada;10
pasar;10
dulce;10
silencio;10
sangre;9
pino;9
les;9
manos;9
luz;9
abajo;9
claro;9
débil;9
aire;9
tras;9
iba;9
primavera;9
ahora;9
pozo;9
vida;9
huerto;9
verdes;9
jardín;9
viejo;9
rebuzna;8
arroyo;8
bien;8
cuesta;8
uno;8
van;8
pinos;8
clara;8
cuadra;8
fuese;8
mañana;8
prado;8
negro;8
olor;8
tibia;8
son;8
cae;8
viene;8
roja;7
n;7
rojo;7
últimas;7
tonto;7
puerta;7
nubes;7
orejas;7
nube;7
libre;7
mar;7
negros;7
esos;7
ver;7
este;7
canario;7
río;7
perro;7
estaba;7
ay;7
médico;7
mariposa;7
vamos;7
ramas;7
paisaje;7
celeste;7
ido;7
detrás;7
tiempo;7
instante;7
momento;7
malva;7
unos;7
san;7
pobres;7
alegría;7
siempre;6
hacen;6
celestes;6
naranjas;6
ellos;6
loco;6
libro;6
diana;6
fría;6
frío;6
entonces;6
voz;6
colina;6
caía;6
ocaso;6
gran;6
grillo;6
mujeres;6
dónde;6
dije;6
dios;6
antes;6
te;6
pajarillo;6
amigo;6
oye;6
paz;6
hierba;6
torre;6
después;6
solo;6
blando;6
miraba;6
blanda;6
mío;6
agudo;6
fresco;6
todas;6
tristes;6
vagas;6
poniente;6
crepúsculo;6
muerto;6
breve;6
vieja;6
suave;6
anda;5
poeta;5
suelo;5
carga;5
quiere;5
loro;5
ven;5
dientes;5
risas;5
abril;5
ríe;5
ese;5
lleva;5
amarillo;5
aún;5
pinar;5
gris;5
vuelta;5
lejano;5
llega;5
enorme;5
nuestro;5
brillante;5
burro;5
llena;5
rayo;5
oh;5
bella;5
ti;5
puesto;5
aquella;5
fiesta;5
claras;5
lirios;5
casas;5
brisa;5
concierto;5
chiquillos;5
fuego;5
palabra;5
tres;5
gorriones;5
fuera;5
espejos;5
pecho;5
escopeta;5
asno;5
delante;5
fuente;5
pone;5
lirio;5
invierno;5
hemos;5
ahí;5
alas;5
fondo;5
duro;5
burros;5
casi;5
pienso;5
limpio;5
allí;5
alta;5
mismo;5
pájaro;5
mariposas;5
debe;5
malvas;5
piedra;5
dejo;5
idilio;5
hojas;5
venía;5
están;5
vienen;5
amor;5
racimo;5
prados;5
guarda;4
ventana;4
mustio;4
rebuzno;4
e;4
descripción;4
lilas;4
ardiente;4
trote;4
cargado;4
leve;4
caídas;4
miedo;4
campanillas;4
campana;4
viñas;4
lentamente;4
sólo;4
campanas;4
tierno;4
grana;4
tierna;4
vagamente;4
fuerza;4
mal;4
patas;4
también;4
caminos;4
habrá;4
árboles;4
visto;4
donde;4
rien;4
cabra;4
cargados;4
esa;4
est;4
rebuznos;4
sube;4
huir;4
amarilla;4
montemayor;4
humo;4
dice;4
sarito;4
otoño;4
aquel;4
ce;4
platerillo;4
fragancia;4
divina;4
edad;4
lleno;4
fue;4
entra;4
carretilla;4
fragante;4
mujer;4
seco;4
gracia;4
corren;4
obscura;4
salir;4
frente;4
corral;4
caída;4
sueño;4
recuerdo;4
bueno;4
solitario;4
tiro;4
cristales;4
palacio;4
torno;4
torna;4
burrillo;4
nunca;4
