Id;Text;Size
1;the;541
2;and;510
3;to;418
4;of;410
5;i;292
6;you;289
7;my;269
8;a;257
9;in;224
10;it;215
11;that;196
12;is;170
13;this;158
14;not;152
15;for;144
16;ham;143
17;with;139
18;d;134
19;his;134
20;as;128
21;lord;125
22;but;120
23;so;112
24;your;112
25;or;109
26;be;104
27;he;103
28;by;102
29;me;102
30;what;96
31;s;93
32;have;93
33;we;87
34;are;82
35;him;74
36;do;71
37;no;71
38;our;71
39;pol;71
40;o;66
41;all;66
42;will;63
43;hor;63
44;king;59
45;on;58
46;most;54
47;may;53
48;if;53
49;at;52
50;good;51
51;shall;49
52;more;48
53;from;46
54;hamlet;45
55;well;45
56;like;44
57;there;44
58;they;42
59;thy;41
60;was;40
61;thou;40
62;father;40
63;then;39
64;t;38
65;tis;38
66;such;37
67;let;36
68;speak;36
69;ll;35
70;than;35
71;did;34
72;us;34
73;know;34
74;time;34
75;now;33
76;which;33
77;come;33
78;mar;32
79;th;32
80;hath;31
81;give;31
82;go;31
83;thee;31
84;would;30
85;night;30
86;them;30
87;ghost;30
88;queen;30
89;say;30
90;am;29
91;an;29
92;out;29
93;heaven;29
94;upon;28
95;think;28
96;very;28
97;oph;28
98;their;28
99;ros;28
100;these;27
101;thus;27
102;her;27
103;how;27
104;man;26
105;project;26
106;why;26
107;etext;26
108;enter;25
109;love;25
110;any;25
111;should;25
112;make;24
113;gutenberg;24
114;when;24
115;one;24
116;much;24
117;too;23
118;nor;23
119;who;23
120;god;23
121;must;23
122;here;22
123;had;22
124;take;22
125;some;22
126;denmark;21
127;look;21
128;both;21
129;polonius;20
130;horatio;20
131;see;20
132;ber;20
133;ay;19
134;down;18
135;made;18
136;long;18
137;play;18
138;hear;18
139;other;18
140;where;18
141;world;18
142;again;17
143;indeed;17
144;ophelia;17
145;were;16
146;though;16
147;up;16
148;welcome;16
149;hold;16
150;exeunt;16
151;dear;16
152;sir;16
153;can;16
154;tell;15
155;use;15
156;might;15
157;head;15
158;seen;15
159;true;15
160;those;15
161;day;14
162;whose;14
163;into;14
164;leave;14
165;shakespeare;14
166;old;14
167;yet;14
168;before;14
169;comes;14
170;soul;14
171;guil;14
172;copies;14
173;daughter;14
174;eyes;14
175;she;14
176;elsinore;13
177;does;13
178;watch;13
179;away;13
180;players;13
181;farewell;13
182;copyright;13
183;form;13
184;library;13
185;complete;13
186;life;13
187;even;13
188;heart;13
189;friends;13
190;rey;13
191;exit;13
192;electronic;13
193;guildenstern;13
194;nature;13
195;state;12
196;mind;12
197;fear;12
198;about;12
199;still;12
200;own;12
201;sword;12
202;marcellus;12
203;within;12
204;could;12
205;death;12
206;poor;12
207;distributed;12
208;son;12
209;earth;12
210;better;11
211;part;11
212;doth;11
213;believe;11
214;swear;11
215;nay;11
216;against;11
217;honest;11
218;never;11
219;youth;11
220;been;11
221;rosencrantz;11
222;itself;11
223;first;11
224;art;11
225;saw;11
226;scene;11
227;once;11
228;norway;10
229;matter;10
230;each;10
231;two;10
232;thing;10
233;mine;10
234;mad;10
235;william;10
236;noble;10
237;follow;10
238;marry;10
239;together;10
240;something;10
241;honour;10
242;cannot;10
243;pyrrhus;10
244;reason;10
245;show;10
246;duty;10
247;works;10
248;gentlemen;10
249;said;10
250;blood;9
251;spirit;9
252;speech;9
253;doubt;9
254;means;9
255;particular;9
256;being;9
257;bernardo;9
258;stay;9
259;ear;9
260;off;9
261;oft;9
262;laertes;9
263;young;9
264;service;9
265;ever;9
266;walk;9
267;given;9
268;fair;9
269;uncle;9
270;air;9
271;call;9
272;yourself;9
273;madam;9
274;set;9
275;little;9
276;friend;9
277;readable;9
278;others;8
279;aside;8
280;question;8
281;pray;8
282;further;8
283;right;8
284;remember;8
285;version;8
286;eye;8
287;news;8
288;way;8
289;used;8
290;foul;8
291;else;8
292;fortinbras;8
293;seem;8
294;sent;8
295;laer;8
296;cause;8
297;receive;8
298;last;8
299;bear;8
300;murther;8
301;machine;8
302;find;8
303;fran;8
304;best;8
305;hour;8
306;heard;8
307;inc;8
308;charges;8
309;act;8
310;nothing;8
311;mother;8
312;phrase;8
313;dead;8
314;words;8
315;courtier;8
316;villain;8
317;hand;7
318;provided;7
319;university;7
320;mellon;7
321;etexts;7
322;men;7
323;myself;7
324;common;7
325;mark;7
326;lost;7
327;tongue;7
328;haste;7
329;voice;7
330;sweet;7
331;end;7
332;himself;7
333;faith;7
334;brother;7
335;er;7
336;while;7
337;distribution;7
338;power;7
339;strange;7
340;live;7
341;late;7
342;put;7
343;small;7
344;print;7
345;since;7
346;fire;7
347;please;7
348;madness;7
349;carnegie;7
350;fortune;7
351;red;7
352;rest;7
353;personal;7
354;thanks;7
355;makes;7
356;only;7
357;same;6
358;after;6
359;gone;6
360;prohibited;6
361;com;6
362;including;6
363;wherein;6
364;fashion;6
365;memory;6
366;pale;6
367;business;6
368;month;6
369;permission;6
370;stand;6
371;includes;6
372;fell;6
373;many;6
374;appear;6
375;money;6
376;work;6
377;word;6
378;reynaldo;6
379;hands;6
380;sleep;6
381;thoughts;6
382;keep;6
383;visit;6
384;dream;6
385;voltemand;6
386;commercial;6
387;none;6
388;get;6
389;list;6
390;million;6
391;arms;6
392;things;6
393;has;6
394;adieu;6
395;free;6
396;face;6
397;membership;6
398;excellent;6
399;commercially;6
400;read;6
401;grace;6
402;takes;6
403;castle;6
404;truly;6
405;beauty;6
406;download;6
407;goes;6
408;b;5
409;information;5
410;room;5
411;cornelius;5
412;hast;5
413;honesty;5
414;loves;5
415;law;5
416;less;5
417;thine;5
418;house;5
419;season;5
420;majesty;5
421;done;5
422;under;5
423;hither;5
424;ourselves;5
425;near;5
426;need;5
427;often;5
428;ere;5
429;far;5
430;effect;5
431;alone;5
432;bring;5
433;sure;5
434;charge;5
435;tears;5
436;ho;5
437;flourish;5
438;disposition;5
439;cock;5
440;st;5
441;hell;5
442;purpose;5
443;without;5
444;prison;5
445;lack;5
446;obey;5
447;gives;5
448;till;5
449;nunnery;5
450;guilty;5
451;light;5
452;desire;5
453;general;5
454;answer;5
455;return;5
456;beseech;5
457;damages;5
458;priam;5
459;therefore;5
460;truth;5
461;defect;5
462;body;5
463;came;5
464;arm;5
465;unto;5
466;cast;5
467;sun;5
468;gentleman;5
469;between;5
