Id;Text;Size
1;you;287
2;my;269
3;i;268
4;ham;143
5;his;134
6;lord;124
7;so;112
8;your;112
9;me;102
10;he;99
11;have;93
12;what;93
13;we;78
14;him;74
15;our;71
16;pol;71
17;do;70
18;all;66
19;hor;63
20;king;57
21;most;54
22;may;53
23;good;51
24;shall;49
25;o;48
26;more;48
27;from;46
28;well;45
29;like;44
30;hamlet;41
31;thy;41
32;thou;40
33;tis;38
34;speak;36
35;than;35
36;did;34
37;time;34
38;now;33
39;which;33
40;come;33
41;mar;32
42;th;32
43;us;32
44;know;32
45;hath;31
46;let;31
47;give;31
48;go;31
49;thee;31
50;would;30
51;night;30
52;them;30
53;ghost;30
54;queen;30
55;father;30
56;am;29
57;out;29
58;heaven;29
59;say;29
60;think;28
61;very;28
62;oph;28
63;ros;28
64;upon;27
65;thus;27
66;her;27
67;how;27
68;why;26
69;etext;26
70;enter;25
71;project;25
72;love;25
73;any;25
74;should;25
75;man;24
76;make;24
77;when;24
78;one;24
79;much;24
80;i'll;24
81;too;23
82;nor;23
83;must;23
84;gutenberg;22
85;who;22
86;had;22
87;take;22
88;some;22
89;here;21
90;both;21
91;polonius;20
92;denmark;20
93;horatio;20
94;god;20
95;see;20
96;ber;20
97;ay;19
98;down;18
99;made;18
100;long;18
101;look;18
102;hear;18
103;again;17
104;indeed;17
105;other;17
106;where;17
107;ophelia;17
108;world;17
109;were;16
110;though;16
111;play;16
112;up;16
113;welcome;16
114;hold;16
115;exeunt;16
116;dear;16
117;sir;16
118;can;16
119;tell;15
120;use;15
121;might;15
122;head;15
123;seen;15
124;true;15
125;those;15
126;1;14
127;day;14
128;whose;14
129;leave;14
130;old;14
131;yet;14
132;before;14
133;comes;14
134;guil;14
135;copies;14
136;daughter;14
137;eyes;14
138;she;14
139;elsinore;13
140;does;13
141;away;13
142;players;13
143;farewell;13
144;copyright;13
145;form;13
146;shakespeare;13
147;library;13
148;complete;13
149;life;13
150;even;13
151;heart;13
152;friends;13
153;soul;13
154;rey;13
155;exit;13
156;electronic;13
157;guildenstern;13
158;state;12
159;watch;12
160;about;12
161;still;12
162;own;12
163;sword;12
164;marcellus;12
165;within;12
166;could;12
167;death;12
168;poor;12
169;distributed;12
170;nature;12
171;earth;12
172;better;11
173;part;11
174;doth;11
175;fear;11
176;believe;11
177;nay;11
178;against;11
179;honest;11
180;never;11
181;youth;11
182;been;11
183;rosencrantz;11
184;itself;11
185;first;11
186;art;11
187;son;11
188;scene;11
189;once;11
190;norway;10
191;matter;10
192;each;10
193;two;10
194;thing;10
195;mine;10
196;mind;10
197;mad;10
198;swear;10
199;william;10
200;noble;10
201;marry;10
202;together;10
203;something;10
204;cannot;10
205;pyrrhus;10
206;father's;10
207;reason;10
208;show;10
209;duty;10
210;saw;10
211;works;10
212;gentlemen;10
213;said;10
214;2;9
215;blood;9
216;spirit;9
217;speech;9
218;doubt;9
219;means;9
220;particular;9
221;being;9
222;bernardo;9
223;ear;9
224;off;9
225;oft;9
226;follow;9
227;laertes;9
228;young;9
229;we'll;9
230;service;9
231;ever;9
232;given;9
233;fair;9
234;uncle;9
235;air;9
236;yourself;9
237;madam;9
238;set;9
239;little;9
240;friend;9
241;readable;9
242;others;8
243;aside;8
244;question;8
245;pray;8
246;further;8
247;right;8
248;remember;8
249;version;8
250;eye;8
251;news;8
252;way;8
253;used;8
254;else;8
255;fortinbras;8
256;sent;8
257;is't;8
258;laer;8
259;cause;8
260;walk;8
261;receive;8
262;last;8
263;machine;8
264;find;8
265;fran;8
266;best;8
267;hour;8
268;heard;8
269;inc;8
270;charges;8
271;act;8
272;nothing;8
273;phrase;8
274;dead;8
275;words;8
276;villain;8
277;hand;7
278;provided;7
279;university;7
280;mellon;7
281;etexts;7
282;myself;7
283;common;7
284;mark;7
285;lost;7
286;tongue;7
287;haste;7
288;voice;7
289;sweet;7
290;end;7
291;himself;7
292;faith;7
293;foul;7
294;while;7
295;distribution;7
296;power;7
297;strange;7
298;live;7
299;late;7
300;put;7
301;small;7
302;bear;7
303;murther;7
304;print;7
305;since;7
306;fire;7
307;please;7
308;madness;7
309;carnegie;7
310;call;7
311;mother;7
312;rest;7
313;personal;7
314;thanks;7
315;makes;7
316;courtier;7
317;only;7
318;same;6
319;after;6
320;gone;6
321;prohibited;6
322;including;6
323;wherein;6
324;fashion;6
325;memory;6
326;pale;6
327;1990;6
328;1993;6
329;business;6
330;month;6
331;permission;6
332;stand;6
333;includes;6
334;men;6
335;fell;6
336;many;6
337;stay;6
338;money;6
339;work;6
340;word;6
341;reynaldo;6
342;hands;6
343;sleep;6
344;thoughts;6
345;keep;6
346;visit;6
347;dream;6
348;voltemand;6
349;seem;6
350;commercial;6
351;that's;6
352;none;6
353;get;6
354;list;6
355;million;6
356;arms;6
357;things;6
358;has;6
359;o'er;6
360;adieu;6
361;free;6
362;honour;6
363;face;6
364;membership;6
365;excellent;6
366;commercially;6
367;read;6
368;grace;6
369;takes;6
370;castle;6
371;truly;6
372;beauty;6
373;download;6
374;goes;6
375;b;5
376;information;5
377;room;5
378;cornelius;5
379;hast;5
380;honesty;5
381;loves;5
382;less;5
383;thine;5
384;house;5
385;season;5
386;majesty;5
387;done;5
388;under;5
389;hither;5
390;ourselves;5
391;near;5
392;need;5
393;often;5
394;ere;5
395;let's;5
396;far;5
397;effect;5
398;alone;5
399;bring;5
400;sure;5
401;charge;5
402;tears;5
403;ho;5
404;flourish;5
405;disposition;5
406;cock;5
407;hell;5
408;purpose;5
409;without;5
410;prison;5
411;obey;5
412;gives;5
413;till;5
414;nunnery;5
415;guilty;5
416;light;5
417;desire;5
418;general;5
419;answer;5
420;damages;5
421;therefore;5
422;truth;5
423;defect;5
424;body;5
425;came;5
426;unto;5
427;cast;5
428;there's;5
429;sun;5
430;gentleman;5
431;between;5
432;t;4
433;hard;4
434;went;4
435;top;4
436;twere;4
437;thousand;4
438;law;4
439;says;4
440;entertainment;4
441;dread;4
442;gracious;4
443;gainst;4
444;aught;4
445;revenge;4
446;ears;4
447;domain;4
448;ambassadors;4
449;legal;4
450;prince;4
451;custom;4
452;known;4
453;subject;4
454;above;4
455;star;4
456;beard;4
457;he's;4
458;whole;4
459;lose;4
460;toward;4
461;seems;4
462;platform;4
463;command;4
464;hamlet's;4
465;wouldst;4
466;told;4
467;shape;4
468;forth;4
469;dreams;4
470;wittenberg;4
471;great;4
472;looks;4
473;wit;4
474;fie;4
475;grow;4
476;brother;4
477;freely;4
478;woe;4
479;perchance;4
480;brief;4
481;closes;4
482;ye;4
483;brain;4
484;help;4
485;note;4
486;sister;4
487;wind;4
488;days;4
489;lack;4
490;treasure;4
491;pastoral;4
492;lady;4
493;hundred;4
494;almost;4
495;whether;4
496;beneath;4
497;gertrude;4
498;withal;4
499;yes;4
500;colour;4
501;vows;4
502;mean;4
503;neither;4
504;court;4
505;tale;4
506;honour'd;4
507;action;4
508;file;4
509;herein;4
510;except;4
511;beseech;4
512;every;4
513;donations;4
514;priam;4
515;on't;4
516;public;4
517;fortune;4
518;fare;4
519;grief;4
520;gifts;4
521;blessing;4
522;future;4
523;expense;4
524;through;4
525;longer;4
526;name;4
527;book;4
528;kind;4
529;enough;4
530;sea;4
531;sit;4
532;in's;4
533;in't;4
534;break;4
535;falls;4
536;hecuba;4
537;stood;4
538;horrible;4
539;morning;4
540;passion;4
541;virtue;4
542;figure;4
543;sight;4
544;natural;4
545;place;4
546;plain;4
547;person;4
548;marriage;4
549;limited;4
550;fault;4
551;fortune's;3
552;infinite;3
553;characters;3
554;quiet;3
555;thank;3
556;hart;3
557;motive;3
558;to't;3
559;struck;3
560;woman;3
561;look'd;3
562;ambitious;3
563;lay;3
564;try;3
565;pity;3
566;distribute;3
567;assume;3
568;full;3
569;stars;3
570;tenders;3
571;pobox.com;3
572;god's;3
573;keeps;3
574;dost;3
575;dew;3
576;die;3
577;appear'd;3
578;occasion;3
579;delights;3
580;goodly;3
581;main;3
582;twas;3
583;wicked;3
584;mercy;3
585;sorrow;3
586;received;3
587;quality;3
588;appear;3
589;impart;3
590;holds;3
591;beast;3
592;heartily;3
593;understanding;3
594;historical;3
595;gather;3
596;sleeping;3
597;rich;3
598;francisco;3
599;shake;3
600;took;3
601;below;3
602;forms;3
603;shoulder;3
604;waves;3
605;another;3
606;black;3
607;statement;3
608;wrong;3
609;certain;3
610;fee;3
611;few;3
612;otherwise;3
613;damned;3
614;unfold;3
615;rank;3
616;addition;3
617;peace;3
618;fool;3
619;piece;3
620;burst;3
621;thence;3
622;ha;3
623;ii;3
624;delight;3
625;draw;3
626;second;3
627;author;3
628;follows;3
629;lands;3
630;wholesome;3
631;twelve;3
632;seek;3
633;tm;3
634;smiling;3
635;lies;3
636;dane;3
637;teach;3
638;reading;3
639;course;3
640;copy;3
641;sound;3
642;proud;3
643;ground;3
