Id;Text;Size
1;i;292
2;you;289
3;my;269
4;ham;143
5;d;134
6;his;134
7;lord;125
8;your;112
9;so;112
10;he;103
11;me;102
12;what;96
13;s;93
14;have;93
15;we;87
16;him;74
17;pol;71
18;do;71
19;our;71
20;o;66
21;all;66
22;hor;63
23;king;59
24;most;54
25;may;53
26;good;51
27;shall;49
28;more;48
29;from;46
30;hamlet;45
31;well;45
32;like;44
33;thy;41
34;father;40
35;thou;40
36;t;38
37;tis;38
38;let;36
39;speak;36
40;ll;35
41;than;35
42;time;34
43;did;34
44;us;34
45;know;34
46;now;33
47;which;33
48;come;33
49;mar;32
50;th;32
51;hath;31
52;give;31
53;go;31
54;thee;31
55;would;30
56;queen;30
57;night;30
58;say;30
59;them;30
60;ghost;30
61;heaven;29
62;am;29
63;out;29
64;upon;28
65;think;28
66;ros;28
67;very;28
68;oph;28
69;thus;27
70;her;27
71;how;27
72;man;26
73;project;26
74;why;26
75;etext;26
76;enter;25
77;love;25
78;any;25
79;should;25
80;much;24
81;make;24
82;gutenberg;24
83;when;24
84;one;24
85;god;23
86;too;23
87;must;23
88;nor;23
89;who;23
90;had;22
91;take;22
92;some;22
93;here;22
94;denmark;21
95;look;21
96;both;21
97;polonius;20
98;see;20
99;ber;20
100;horatio;20
101;ay;19
102;down;18
103;made;18
104;long;18
105;other;18
106;where;18
107;play;18
108;world;18
109;hear;18
110;again;17
111;indeed;17
112;ophelia;17
113;were;16
114;welcome;16
115;hold;16
116;though;16
117;exeunt;16
118;dear;16
119;sir;16
120;up;16
121;can;16
122;tell;15
123;use;15
124;true;15
125;those;15
126;might;15
127;head;15
128;seen;15
129;yet;14
130;before;14
131;day;14
132;whose;14
133;comes;14
134;soul;14
135;guil;14
136;leave;14
137;copies;14
138;daughter;14
139;eyes;14
140;she;14
141;shakespeare;14
142;old;14
143;even;13
144;elsinore;13
145;does;13
146;watch;13
147;away;13
148;players;13
149;heart;13
150;friends;13
151;farewell;13
152;rey;13
153;copyright;13
154;exit;13
155;electronic;13
156;guildenstern;13
157;form;13
158;library;13
159;complete;13
160;nature;13
161;life;13
162;state;12
163;sword;12
164;mind;12
165;marcellus;12
166;fear;12
167;within;12
168;could;12
169;about;12
170;still;12
171;death;12
172;poor;12
173;distributed;12
174;son;12
175;earth;12
176;own;12
177;youth;11
178;better;11
179;part;11
180;been;11
181;doth;11
182;rosencrantz;11
183;believe;11
184;itself;11
185;first;11
186;swear;11
187;nay;11
188;against;11
189;art;11
190;saw;11
191;honest;11
192;never;11
193;scene;11
194;once;11
195;norway;10
196;matter;10
197;marry;10
198;each;10
199;two;10
200;thing;10
201;mine;10
202;mad;10
203;together;10
204;something;10
205;honour;10
206;cannot;10
207;pyrrhus;10
208;reason;10
209;show;10
210;duty;10
211;william;10
212;works;10
213;noble;10
214;gentlemen;10
215;said;10
216;follow;10
217;laertes;9
218;blood;9
219;young;9
220;service;9
221;ever;9
222;spirit;9
223;walk;9
224;speech;9
225;given;9
226;doubt;9
227;means;9
228;particular;9
229;being;9
230;bernardo;9
231;stay;9
232;fair;9
233;ear;9
234;uncle;9
235;air;9
236;call;9
237;yourself;9
238;madam;9
239;set;9
240;little;9
241;off;9
242;oft;9
243;friend;9
244;readable;9
245;others;8
246;aside;8
247;laer;8
248;question;8
249;pray;8
250;cause;8
251;receive;8
252;last;8
253;bear;8
254;further;8
255;right;8
256;murther;8
257;machine;8
258;find;8
259;fran;8
260;best;8
261;hour;8
262;heard;8
263;remember;8
264;inc;8
265;version;8
266;charges;8
267;act;8
268;nothing;8
269;eye;8
270;mother;8
271;news;8
272;way;8
273;used;8
274;phrase;8
275;dead;8
276;words;8
277;foul;8
278;else;8
279;fortinbras;8
280;seem;8
281;courtier;8
282;villain;8
283;sent;8
284;hand;7
285;strange;7
286;provided;7
287;live;7
288;university;7
289;late;7
290;put;7
291;mellon;7
292;small;7
293;print;7
294;etexts;7
295;since;7
296;men;7
297;fire;7
298;myself;7
299;please;7
300;common;7
301;madness;7
302;mark;7
303;lost;7
304;tongue;7
305;carnegie;7
306;haste;7
307;voice;7
308;fortune;7
309;sweet;7
310;red;7
311;end;7
312;himself;7
313;faith;7
314;rest;7
315;personal;7
316;brother;7
317;er;7
318;thanks;7
319;while;7
320;makes;7
321;distribution;7
322;power;7
323;only;7
324;same;6
325;after;6
326;list;6
327;gone;6
328;million;6
329;prohibited;6
330;com;6
331;including;6
332;arms;6
333;wherein;6
334;fashion;6
335;things;6
336;has;6
337;memory;6
338;pale;6
339;business;6
340;month;6
341;permission;6
342;stand;6
343;includes;6
344;fell;6
345;adieu;6
346;free;6
347;many;6
348;appear;6
349;face;6
350;money;6
351;work;6
352;word;6
353;reynaldo;6
354;membership;6
355;hands;6
356;excellent;6
357;sleep;6
358;commercially;6
359;read;6
360;grace;6
361;takes;6
362;castle;6
363;thoughts;6
364;truly;6
365;keep;6
366;visit;6
367;beauty;6
368;download;6
369;dream;6
370;voltemand;6
371;commercial;6
372;none;6
373;get;6
374;goes;6
375;without;5
376;prison;5
377;b;5
378;information;5
379;lack;5
380;room;5
381;cornelius;5
382;hast;5
383;honesty;5
384;loves;5
385;law;5
386;less;5
387;obey;5
388;gives;5
389;thine;5
390;till;5
391;nunnery;5
392;guilty;5
393;house;5
394;season;5
395;light;5
396;desire;5
397;majesty;5
398;done;5
399;general;5
400;answer;5
401;under;5
402;return;5
403;hither;5
404;beseech;5
405;damages;5
406;priam;5
407;ourselves;5
408;near;5
409;need;5
410;often;5
411;therefore;5
412;truth;5
413;defect;5
414;ere;5
415;body;5
416;came;5
417;arm;5
418;unto;5
419;cast;5
420;far;5
421;effect;5
422;alone;5
423;bring;5
424;sure;5
425;charge;5
426;tears;5
427;ho;5
428;flourish;5
429;disposition;5
430;cock;5
431;sun;5
432;st;5
433;gentleman;5
434;hell;5
435;between;5
436;purpose;5
437;sister;4
438;wind;4
439;days;4
440;wish;4
441;treasure;4
442;hard;4
443;pastoral;4
444;lady;4
445;went;4
446;hundred;4
447;top;4
448;twere;4
449;thousand;4
450;almost;4
451;whether;4
452;beneath;4
453;says;4
454;gertrude;4
455;entertainment;4
456;dread;4
457;withal;4
458;yes;4
459;colour;4
460;shadow;4
461;gracious;4
462;vows;4
463;gainst;4
464;aught;4
465;revenge;4
466;ears;4
467;mean;4
468;neither;4
469;court;4
470;domain;4
471;ambassadors;4
472;tale;4
473;legal;4
474;prince;4
475;custom;4
476;action;4
477;file;4
478;known;4
479;subject;4
480;above;4
481;herein;4
482;except;4
483;star;4
484;beard;4
485;every;4
486;whole;4
487;lose;4
488;toward;4
489;donations;4
490;seems;4
491;platform;4
492;public;4
493;command;4
494;fare;4
495;grief;4
496;gifts;4
497;wouldst;4
498;told;4
499;shape;4
500;forth;4
501;blessing;4
502;future;4
503;expense;4
504;dreams;4
505;wittenberg;4
506;through;4
507;longer;4
508;name;4
509;book;4
510;great;4
511;looks;4
512;kind;4
513;wit;4
514;enough;4
515;fie;4
516;grow;4
517;sea;4
518;freely;4
519;woe;4
520;sit;4
521;ha;4
522;break;4
523;falls;4
524;hecuba;4
525;perchance;4
526;brief;4
527;stood;4
528;horrible;4
529;morning;4
530;closes;4
531;express;4
532;passion;4
533;virtue;4
534;figure;4
535;ye;4
536;sight;4
537;natural;4
538;place;4
539;brain;4
540;help;4
541;plain;4
542;person;4
543;note;4
544;marriage;4
545;limited;4
546;fault;4
547;infinite;3
548;turn;3
549;characters;3
550;quiet;3
551;e;3
552;humbly;3
553;thank;3
554;ambition;3
555;circumstance;3
556;hart;3
557;motive;3
558;struck;3
559;per;3
560;birth;3
561;woman;3
562;instant;3
563;native;3
564;consequence;3
565;writ;3
566;suits;3
567;ambitious;3
568;lay;3
569;try;3
570;pity;3
571;liberty;3
572;drift;3
573;giving;3
574;found;3
575;distribute;3
576;tragedy;3
577;assume;3
578;full;3
579;anything;3
580;heavens;3
581;stars;3
582;tenders;3
583;happy;3
584;awhile;3
585;ways;3
586;touching;3
587;visage;3
588;keeps;3
589;jephthah;3
590;twice;3
591;glad;3
592;dost;3
593;attendants;3
594;dew;3
595;soft;3
596;soil;3
597;honourable;3
598;rouse;3
599;meet;3
600;die;3
601;sometimes;3
602;occasion;3
603;delights;3
604;pious;3
605;goodly;3
606;heavy;3
607;deliver;3
608;health;3
609;conscience;3
610;main;3
611;sort;3
612;twas;3
613;wicked;3
614;coming;3
615;mercy;3
616;sorrow;3
617;received;3
618;quality;3
619;funeral;3
620;impart;3
621;holds;3
622;open;3
623;beast;3
624;safety;3
625;refund;3
626;fall;3
627;soldier;3
628;nephew;3
629;ill;3
630;replacement;3
631;advice;3
632;bestow;3
633;winds;3
634;heartily;3
635;understanding;3
636;wherefore;3
637;fast;3
638;prithee;3
639;historical;3
640;post;3
641;gather;3
642;consent;3
643;soldiers;3
644;choose;3
645;sleeping;3
646;sorry;3
647;rich;3
648;francisco;3
649;shake;3
650;took;3
651;below;3
652;already;3
653;dumb;3
654;forms;3
655;thought;3
656;ring;3
657;gentle;3
658;shoulder;3
659;waves;3
660;warranties;3
661;another;3
662;devil;3
663;black;3
664;officer;3
665;either;3
666;statement;3
667;flesh;3
668;mobled;3
669;vile;3
670;morn;3
671;wrong;3
672;certain;3
673;fee;3
674;few;3
675;otherwise;3
676;affection;3
677;damned;3
678;joy;3
679;move;3
680;unfold;3
681;bad;3
682;offer;3
683;rank;3
684;addition;3
685;peace;3
686;fool;3
687;bed;3
688;beckons;3
689;france;3
690;en;3
691;piece;3
692;burst;3
693;thence;3
694;bid;3
695;ii;3
696;il;3
697;pobox;3
698;delight;3
699;draw;3
700;married;3
701;receiv;3
702;second;3
703;discretion;3
