Id;Text;Size
1;the;447
2;of;357
3;and;352
4;to;323
5;I;238
6;my;225
7;a;208
8;in;188
9;you;176
10;it;143
11;Ham.;143
12;And;126
13;is;126
14;his;124
15;not;114
16;that;110
17;with;101
18;this;99
19;your;97
20;The;79
21;for;78
22;be;76
23;have;75
24;Pol.;71
25;he;71
26;as;70
27;by;70
28;our;66
29;or;64
30;Hor.;63
31;But;59
32;me;59
33;To;58
34;are;57
35;That;56
36;we;55
37;so;52
38;will;49
39;lord,;49
40;but;49
41;most;46
42;do;45
43;My;44
44;no;44
45;all;44
46;at;43
47;As;42
48;shall;42
49;him;42
50;What;42
51;thy;40
52;what;40
53;on;40
54;A;39
55;may;38
56;from;38
57;they;37
58;more;37
59;You;34
60;good;33
61;thou;32
62;lord.;32
63;like;31
64;you,;31
65;Mar.;31
66;With;30
67;OF;30
68;was;29
69;For;29
70;King.;28
71;Ros.;28
72;Oph.;28
73;OR;27
74;an;27
75;such;26
76;am;26
77;This;25
78;If;25
79;It;25
80;very;25
81;their;25
82;should;25
83;th';24
84;hath;24
85;So;24
86;than;24
87;I'll;24
88;would;23
89;much;23
90;FOR;23
91;'Tis;22
92;did;22
93;He;22
94;us;22
95;know;22
96;Enter;22
97;her;22
98;make;21
99;In;21
100;which;21
101;out;21
102;there;21
103;O;20
104;O,;20
105;if;20
106;thee;20
107;Ber.;19
108;We;19
109;give;19
110;them;19
111;you.;19
112;lord?;19
113;must;19
114;some;19
115;it.;19
116;speak;19
117;AND;19
118;let;18
119;think;18
120;Ay,;18
121;BY;18
122;Of;18
123;Or;18
124;Ghost.;18
125;these;18
126;had;18
127;How;17
128;too;16
129;me.;16
130;it,;16
131;dear;16
132;ARE;16
133;upon;15
134;Do;15
135;IS;15
136;Queen.;15
137;go;15
138;Hamlet,;15
139;thus;15
140;time;15
141;take;15
142;father;15
143;any;15
144;'tis;15
145;say;15
146;can;15
147;well;14
148;tell;14
149;made;14
150;man;14
151;one;14
152;Guil.;14
153;King;14
154;Project;14
155;When;14
156;were;13
157;Then;13
158;night;13
159;me,;13
160;love;13
161;By;13
162;Let;13
163;might;13
164;Rey.;13
165;other;13
166;those;13
167;see;13
168;him,;13
169;whose;12
170;though;12
171;nor;12
172;now;12
173;Hamlet.;12
174;old;12
175;then;12
176;up;12
177;heaven;12
178;Good;12
179;ELECTRONIC;12
180;poor;12
181;COPIES;12
182;she;12
183;Why,;11
184;Than;11
185;does;11
186;THE;11
187;DISTRIBUTED;11
188;into;11
189;Is;11
190;Gutenberg;11
191;TO;11
192;hear;11
193;seen;11
194;own;11
195;here;11
196;Elsinore.;11
197;hold;11
198;Have;11
199;Upon;11
200;him.;11
201;each;10
202;I,;10
203;Exeunt;10
204;No;10
205;Denmark;10
206;form;10
207;noble;10
208;head;10
209;NOT;10
210;come;10
211;Nay,;10
212;Nor;10
213;Ophelia,;10
214;father's;10
215;where;10
216;both;10
217;Give;10
218;better;9
219;say,;9
220;thing;9
221;Your;9
222;about;9
223;believe;9
224;look;9
225;Be;9
226;MAY;9
